Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2175,2381,-1.91814021915608,-5.89546259928085,-0.019990240011623,-0.000116,0.003336,-0.010011,0.026721,0.112222,324.801740,24.370013,0.999121,0.990161,0.004248,0.251999,-0.000025,-0.000008,0.000011,-0.000002,-0.000030,63.784320,0.000036,
2445,2936,3.85342120881959,6.21235473041989,-0.0280842019003558,-0.000742,0.002334,-0.007977,-0.003372,0.086581,315.279041,25.444082,0.999574,0.993211,0.003562,0.216477,-0.000031,-0.000026,-0.000023,-0.000006,-0.000051,-48.530869,0.000063,
2025,2036,-5.12864790880221,-13.4494096883194,0.0131820150597832,0.000041,0.003189,-0.011687,0.034720,0.096149,331.463631,25.089964,0.999175,0.986094,0.004723,0.165525,-0.000114,-0.000091,-0.000063,-0.000038,-0.000166,-50.138421,0.000217,
2130,2231,-2.87203943889699,-9.17805492922027,0.0034569761091916,-0.000190,0.002339,-0.007241,0.013614,0.080254,327.623867,24.498993,0.998860,0.983231,0.005088,0.159749,-0.000031,-0.000013,0.000007,-0.000011,-0.000033,71.740100,0.000046,
2085,2141,-3.83830109073585,-11.1469247341383,-0.00811581260586536,0.000307,0.002861,-0.008628,0.039774,0.105395,329.237500,24.670190,0.999156,0.985964,0.004727,0.215443,-0.000043,-0.000017,0.000018,-0.000008,-0.000052,63.229730,0.000065,
2130,2246,-2.87486194488125,-8.84940800064209,-0.000879028184158415,-0.000236,0.002276,-0.006446,0.009114,0.067321,327.336532,24.510054,0.999062,0.983449,0.005051,0.143882,-0.000028,-0.000003,0.000008,-0.000001,-0.000031,74.338078,0.000036,
2385,2816,2.5707991203681,3.5989311582869,-0.0367533053210423,-0.000732,0.002300,-0.003547,-0.019917,0.108489,317.118851,24.972904,0.999666,0.992652,0.003640,0.235171,-0.000035,-0.000030,-0.000014,-0.000018,-0.000047,-50.751859,0.000067,
2310,2666,0.96831902150748,0.327992666098893,-0.0274926920543521,-0.000796,0.002604,-0.006658,-0.012826,0.110763,319.704101,24.600436,0.999773,0.993536,0.003357,0.210973,-0.000017,-0.000014,0.000001,-0.000014,-0.000017,75.231184,0.000031,
2055,2081,-4.48334901641186,-12.4613823055973,-0.000652708453287687,-0.000492,0.002709,-0.005143,-0.007326,0.096786,330.394580,24.917597,0.999095,0.982676,0.005001,0.135843,-0.000049,-0.000037,-0.000001,-0.000037,-0.000049,-86.989043,0.000086,
2265,2576,0.00631833699997486,-1.63642593606292,-0.0254089622036986,-0.000163,0.002872,-0.007200,0.017379,0.119676,321.299392,24.406622,0.999329,0.989615,0.004146,0.277648,-0.000033,-0.000031,-0.000005,-0.000026,-0.000037,-50.800989,0.000064,
2100,2156,-3.51308875348847,-10.8215880883939,0.0193146633086485,-0.000471,0.002558,-0.004592,-0.007433,0.110723,329.100334,24.606764,0.998970,0.983272,0.005215,0.203868,-0.000043,-0.000003,0.000018,0.000004,-0.000049,69.128791,0.000055,
2040,2066,-4.80916014939613,-12.7888055844298,-0.0177722885482012,-0.000637,0.002631,-0.005060,-0.014418,0.102913,330.576431,24.914791,0.999753,0.994005,0.003214,0.242040,-0.000074,-0.000059,-0.000022,-0.000042,-0.000090,-54.294617,0.000135,
