Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.27849541148077,-14.2513738426869,0.0295692257730593,0.006167,0.000861,-0.000846,0.285452,0.039802,332.677854,24.979626,0.998605,0.982267,0.005412,0.332345,0.000002,-0.000212,-0.000059,0.000018,-0.000227,-14.397601,0.000253,
2071,2293,-4.01752022523491,-7.67992474317633,-0.0047819626860246,0.006489,0.000694,-0.003241,0.307552,0.035994,327.252963,24.468459,0.999816,0.993507,0.003720,0.417044,-0.000004,-0.000001,0.000010,0.000008,-0.000012,49.935729,0.000013,
2026,2068,-4.96212544488585,-12.6083324144605,0.030021885273527,0.006500,0.000037,0.001035,0.295475,0.005027,331.398892,24.786846,0.999720,0.992574,0.003599,0.354563,0.000000,-0.000091,0.000001,0.000000,-0.000091,0.918382,0.000105,
2056,2218,-4.33197100118128,-9.31965572799975,0.00841679834098841,0.006485,0.001471,-0.002138,0.304266,0.101221,328.645602,24.653201,0.998556,0.982359,0.005269,0.373271,-0.000016,0.000026,0.000011,0.000029,-0.000019,76.064558,0.000029,
2041,2143,-4.64666243183592,-10.964152052682,0.0180877374764918,0.006753,0.000163,-0.001110,0.313142,0.001247,330.025735,24.672970,0.998238,0.981460,0.005868,0.349233,-0.000029,-0.000018,-0.000002,-0.000017,-0.000030,-80.997421,0.000048,
2011,2038,-5.28522403654099,-13.262481521657,0.00855613382509546,0.006944,0.001139,-0.003771,0.329183,0.047649,331.826633,24.899959,0.998309,0.980627,0.005566,0.395613,-0.000012,-0.000215,-0.000024,-0.000009,-0.000218,-6.633608,0.000257,
2116,2518,-3.07469569361524,-2.7648737844757,-0.0231782625289725,0.006737,0.000336,-0.001997,0.315820,0.013672,323.259484,24.384300,0.999314,0.987903,0.004321,0.371801,0.000004,-0.000010,-0.000003,0.000004,-0.000010,-11.824539,0.000010,
2026,2098,-4.96657868996389,-11.9496804324737,0.0235224624293551,0.006633,0.000259,-0.001883,0.309700,-0.009670,330.878036,24.833834,0.998989,0.981592,0.005335,0.280204,-0.000010,-0.000029,0.000011,-0.000005,-0.000034,24.254966,0.000043,
2401,2548,3.12542951863614,-2.10530703516331,-0.00863597335597888,0.006683,-0.000287,0.005121,0.287971,0.023208,322.378981,23.895246,0.999353,0.990164,0.004443,0.422011,-0.000006,-0.000011,0.000009,0.000001,-0.000018,36.726092,0.000020,
2086,2368,-3.70261870090391,-6.04161571794291,-0.0028225742995005,0.006750,-0.000214,0.002812,0.302040,0.018522,325.979233,24.393260,0.998458,0.981718,0.005391,0.418661,-0.000013,-0.000007,0.000004,-0.000005,-0.000015,64.824961,0.000020,
2131,2593,-2.76095047808671,-1.12943824285353,-0.0231903623256358,0.006774,0.000194,0.003259,0.301958,0.049307,321.967147,24.357782,0.999429,0.990290,0.004169,0.438777,-0.000006,0.000001,-0.000005,0.000004,-0.000009,-61.451479,0.000009,
2056,2233,-4.33466119870774,-8.99162286995369,0.00330486416720532,0.006613,0.000515,0.001800,0.298835,0.060825,328.357059,24.627323,0.999310,0.988516,0.004471,0.356072,-0.000020,0.000025,0.000007,0.000027,-0.000021,81.449841,0.000028,
2146,2668,-2.44658455131659,0.504283857258635,-0.0232454521056411,0.006969,0.000593,-0.002599,0.328761,0.045360,320.717753,24.333406,0.999609,0.991978,0.003631,0.484412,-0.000004,0.000009,-0.000006,0.000012,-0.000007,-68.490979,0.000012,
2206,2968,-1.19265154695,7.03053392391792,-0.000192771261936286,0.006870,0.000386,0.000006,0.316656,0.053495,315.817815,24.727855,0.999343,0.991533,0.003757,0.404881,-0.000005,0.000024,-0.000009,0.000026,-0.000008,-73.803589,0.000027,
2161,2743,-2.13397029830175,2.13810641453359,-0.0279045182616642,0.006694,-0.000066,0.002228,0.301255,0.016832,319.377736,24.423883,0.999453,0.989854,0.004040,0.411053,-0.000011,-0.000001,-0.000014,0.000009,-0.000021,-54.176288,0.000021,
