Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.29037263785846,-14.2698814544817,0.0268883296911326,-0.005710,-0.017647,-0.003527,-0.257748,-0.791040,332.129410,24.095451,0.998663,0.980619,0.005546,0.390079,0.000745,0.000646,0.000180,0.000882,0.000509,37.249572,0.001408,
2041,2143,-4.65693071929676,-10.9811524032563,0.0230810334114722,-0.003515,-0.016838,0.003883,-0.177386,-0.714216,329.591563,23.891886,0.998162,0.980322,0.005962,0.417532,0.000450,0.000433,0.000111,0.000554,0.000330,42.815796,0.000893,
2026,2068,-4.97328082896312,-12.6255562014566,0.0294232087523483,-0.004655,-0.017187,0.000436,-0.220087,-0.757970,330.894012,23.974208,0.999659,0.991691,0.003815,0.407771,0.000608,0.000507,0.000138,0.000705,0.000410,34.919966,0.001128,
2056,2218,-4.34056143568843,-9.33629645085186,0.0113374487443707,-0.002106,-0.015170,0.000782,-0.103692,-0.647513,328.276260,23.912992,0.998383,0.980827,0.005492,0.366757,0.000340,0.000330,0.000094,0.000429,0.000240,43.425607,0.000678,
2101,2443,-3.39552918830884,-4.41835449487469,-0.00538109996119829,-0.000547,-0.015132,0.003753,-0.041100,-0.635674,324.344472,23.662108,0.999275,0.987593,0.004517,0.460569,0.000116,0.000042,0.000023,0.000123,0.000036,16.071552,0.000167,
2131,2593,-2.76792596816162,-1.14442035923158,-0.0188965503185727,-0.000201,-0.014788,0.007553,-0.036796,-0.584445,321.676390,23.654862,0.999396,0.989752,0.004256,0.507941,0.000063,0.000032,0.000011,0.000066,0.000028,18.263544,0.000097,
2086,2368,-3.71051986599205,-6.05712393037247,-0.00274852531020997,-0.001151,-0.015722,0.002886,-0.066307,-0.654692,325.624616,23.648816,0.998165,0.980384,0.005618,0.491239,0.000186,0.000117,0.000032,0.000199,0.000104,21.364470,0.000308,
2296,2023,0.928151328138728,-13.6217045443547,0.0268463836916339,-0.001247,-0.019603,-0.000179,-0.063903,-0.862592,330.812995,21.978466,0.998867,0.980047,0.005746,0.495241,0.000620,0.000730,-0.000009,0.000731,0.000619,-85.279150,0.001352,
2431,2698,3.74237935577832,1.15444879657215,-0.0204590130033466,0.000386,-0.015886,0.005677,-0.009772,-0.666713,319.592783,23.728693,0.999783,0.991777,0.003676,0.353797,0.000053,0.000045,0.000015,0.000064,0.000033,36.994063,0.000099,
2191,2893,-1.51257491111737,5.38588559465639,-0.00503321828404069,0.000629,-0.014845,0.008010,-0.001325,-0.601927,316.737710,23.924899,0.999786,0.994887,0.003165,0.443347,0.000012,0.000051,0.000018,0.000058,0.000005,68.524077,0.000070,
