Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28197237473933,-14.2515018399676,0.0214033533889051,0.002690,0.000733,-0.009012,0.148018,-0.046901,332.474284,24.961800,0.998901,0.983632,0.005131,0.264892,0.000002,-0.000121,0.000010,0.000003,-0.000121,4.778332,0.000138,
2026,2068,-4.96609668173826,-12.6085525646942,0.0232558784497883,0.002529,-0.000183,-0.005731,0.131697,-0.053948,331.180552,24.751407,0.999713,0.993094,0.003513,0.332322,0.000031,-0.000058,0.000028,0.000038,-0.000066,15.926258,0.000067,
2056,2218,-4.33566469008306,-9.32085212324509,0.00324853697856042,0.002791,0.000275,-0.007307,0.148795,-0.040603,328.449462,24.632343,0.998472,0.983323,0.005227,0.253457,-0.000027,0.000022,0.000002,0.000022,-0.000027,87.268885,0.000029,
2041,2143,-4.65104801725291,-10.9643382038503,0.0133760800858909,0.002368,-0.000024,-0.005822,0.124837,-0.056622,329.799894,24.663944,0.998164,0.982563,0.005790,0.301674,-0.000014,-0.000006,0.000014,0.000005,-0.000025,53.628041,0.000027,
2086,2368,-3.7065170915781,-6.04174992618357,-0.0122070972072947,0.002852,-0.000348,-0.006573,0.149884,-0.049309,325.750368,24.358272,0.998541,0.982109,0.005340,0.386875,-0.000046,-0.000024,-0.000022,-0.000011,-0.000059,-58.190065,0.000076,
2071,2293,-4.02138069091056,-7.68066707574327,-0.00675318283617798,0.002629,-0.000049,-0.005212,0.135572,-0.038051,327.066278,24.455366,0.999789,0.993765,0.003703,0.356961,-0.000053,0.000004,-0.000002,0.000004,-0.000053,-87.888022,0.000059,
2116,2518,-3.07892113044286,-2.76567499651962,-0.0257476917995518,0.002512,-0.000465,-0.004567,0.128818,-0.050393,323.052688,24.352385,0.999184,0.988407,0.004337,0.340129,-0.000035,-0.000018,-0.000024,-0.000001,-0.000052,-54.847400,0.000061,
2146,2668,-2.45093952872054,0.503639304583238,-0.0247043416682686,0.002614,-0.000051,-0.004058,0.132498,-0.026646,320.510805,24.334662,0.999595,0.992614,0.003530,0.410975,-0.000034,-0.000020,-0.000017,-0.000008,-0.000045,-56.473136,0.000057,
2101,2443,-3.39203813048774,-4.40370070245884,-0.0108623339212386,0.002944,-0.000478,-0.001728,0.140188,-0.037756,324.468903,24.354904,0.999359,0.988767,0.004328,0.365568,-0.000056,-0.000042,-0.000034,-0.000015,-0.000083,-50.668139,0.000106,
2266,3268,0.0527693669298621,13.5404286723414,0.0110553561620463,0.002487,-0.000655,-0.001193,0.118297,-0.041512,310.672715,25.291463,0.999642,0.993697,0.003281,0.386582,-0.000019,-0.000011,-0.000015,0.000000,-0.000031,-52.190145,0.000035,
2011,2008,-5.2851904291792,-13.921226257503,0.0155156900527231,0.002473,-0.000429,-0.000581,0.114925,-0.035360,332.152119,24.991950,0.998957,0.985173,0.004951,0.238546,0.000011,-0.000090,0.000007,0.000012,-0.000091,3.746836,0.000099,
