Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2251,3193,-0.256046358030638,11.913978402633,0.0360607019683243,0.003944,0.000507,0.001073,0.178419,0.027329,312.198664,25.216517,0.999498,0.992390,0.003487,0.338626,-0.000001,-0.000021,0.000002,0.000000,-0.000022,5.982204,0.000025,
2191,2908,-1.51163430086056,5.72606404504356,-0.0101223203521386,0.003862,0.000927,-0.001079,0.181624,0.060681,316.622644,24.547715,0.999797,0.994709,0.003215,0.498303,-0.000003,-0.000017,0.000005,-0.000001,-0.000019,19.162625,0.000022,
2041,2158,-4.65265467503693,-10.6313445991152,-0.00431005578570876,0.004269,0.000990,-0.002599,0.203516,0.052648,329.488175,24.778120,0.999367,0.986845,0.004727,0.292358,-0.000004,-0.000008,0.000001,-0.000004,-0.000008,13.751125,0.000012,
2071,2308,-4.02309803899169,-7.34939182687138,-0.0216621633037448,0.003962,0.001958,-0.008107,0.205742,0.060925,326.768809,24.517766,0.999814,0.992917,0.003913,0.392795,0.000001,-0.000016,0.000007,0.000003,-0.000019,19.634057,0.000020,
2011,2023,-5.28600776499539,-13.5916717038808,0.0138182612288347,0.003703,0.001524,-0.003727,0.180456,0.045494,331.962558,24.940634,0.998653,0.983889,0.005214,0.361932,0.000016,-0.000096,0.000044,0.000031,-0.000111,19.138823,0.000114,
2266,3283,0.0507901222586788,13.8673017760833,0.00184942463681637,0.003865,0.000839,-0.001595,0.183828,0.040138,310.413550,25.357245,0.999552,0.992824,0.003354,0.426797,0.000010,-0.000006,0.000024,0.000028,-0.000023,36.121166,0.000030,
2326,2173,1.55971822169042,-10.3072982224943,0.00987329634011758,0.003991,0.001006,0.000863,0.180246,0.054281,328.465993,23.302186,0.998800,0.978773,0.005511,0.261559,-0.000018,-0.000028,-0.000001,-0.000018,-0.000028,-4.980453,0.000046,
2296,2053,0.928388436262061,-12.9410941501764,0.026515560963503,0.004254,0.001139,-0.002880,0.204874,0.055028,330.580537,23.139277,0.999198,0.982808,0.005121,0.319193,-0.000017,-0.000006,-0.000010,0.000000,-0.000022,-59.472363,0.000026,
2116,2533,-3.08005043745905,-2.43706309011215,-0.024507616317635,0.003858,0.001396,-0.002211,0.184449,0.076697,322.874453,24.380002,0.999198,0.986231,0.004644,0.443936,0.000009,0.000002,0.000018,0.000024,-0.000014,39.721355,0.000024,
2221,3058,-0.884625623153514,8.98438241302935,0.0156710532174316,0.003928,0.000795,0.001140,0.177720,0.062231,314.303061,24.865375,0.999747,0.994264,0.003054,0.422469,-0.000001,-0.000037,-0.000005,0.000000,-0.000038,-8.210264,0.000044,
2491,3013,4.99060749370117,8.02865423484511,-0.00637467292699512,0.003899,0.000878,-0.002043,0.187376,0.032637,314.881561,25.672806,0.999610,0.992560,0.003492,0.333240,0.000001,-0.000027,0.000004,0.000002,-0.000027,7.576310,0.000031,
