Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2266,2653,0.158112356680235,0.183125382462073,-0.0275675034837946,0.000000,0.000000,0.000000,0.000000,0.000000,320.265194,24.389874,-1.000000,0.990303,0.006428,0.306927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2251,2638,-0.165313751897425,-0.145031164903912,-0.0238534271000503,0.000000,0.000000,0.000000,0.000000,0.000000,320.566256,24.336064,-1.000000,0.987143,0.006725,0.345358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2251,2668,-0.170405927383669,0.508110192043262,-0.020803734112576,0.000000,0.000000,0.000000,0.000000,0.000000,320.104969,24.358872,-1.000000,0.991445,0.006028,0.370057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2281,2638,0.487658472991299,-0.144408565163928,-0.021577661673291,0.000000,0.000000,0.000000,0.000000,0.000000,320.537358,24.297701,-1.000000,0.987020,0.006845,0.361897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2281,2668,0.482227544788813,0.510447651371301,-0.021658308712972,0.000000,0.000000,0.000000,0.000000,0.000000,320.048955,24.452507,-1.000000,0.991394,0.006384,0.263781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2236,2653,-0.493457450528215,0.180800829291762,-0.0122056252757829,0.000000,0.000000,0.000000,0.000000,0.000000,320.450708,24.419104,-1.000000,0.989512,0.006681,0.294135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2236,2683,-0.499020677923806,0.833904727500219,-0.0165057790437118,0.000000,0.000000,0.000000,0.000000,0.000000,319.928123,24.384827,-1.000000,0.989673,0.006379,0.371743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2266,2683,0.152596664994057,0.836327979467441,-0.0296579907075056,0.000000,0.000000,0.000000,0.000000,0.000000,319.760777,24.385996,-1.000000,0.992365,0.005728,0.362759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2296,2653,0.811142981527244,0.182993150199124,-0.0249328453608086,0.000000,0.000000,0.000000,0.000000,0.000000,320.248308,24.285206,-1.000000,0.988643,0.006440,0.394198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2296,2683,0.805936578525955,0.836415396664407,-0.0213404262755148,0.000000,0.000000,0.000000,0.000000,0.000000,319.791010,24.348815,-1.000000,0.989960,0.006503,0.391459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2236,2623,-0.488592623635267,-0.473339987181127,-0.0178114842256036,0.000000,0.000000,0.000000,0.000000,0.000000,320.890956,24.293612,-1.000000,0.986100,0.007342,0.376796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2266,2623,0.163644612134906,-0.471663087870276,-0.025316719966952,0.000000,0.000000,0.000000,0.000000,0.000000,320.771408,24.268696,-1.000000,0.988919,0.006704,0.375833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2296,2623,0.81701620028835,-0.47137319798486,-0.0195014451497286,0.000000,0.000000,0.000000,0.000000,0.000000,320.780969,24.229298,-1.000000,0.989503,0.006322,0.389013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2251,2698,-0.175696870547373,1.1611067116808,-0.0204830409505803,0.000000,0.000000,0.000000,0.000000,0.000000,319.620679,24.363628,-1.000000,0.991583,0.005676,0.412642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2281,2698,0.477050961603389,1.1628754054468,-0.0183911495746543,0.000000,0.000000,0.000000,0.000000,0.000000,319.589367,24.430213,-1.000000,0.993322,0.005900,0.342210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2311,2668,1.13525550658875,0.510854707336222,-0.0195959649110478,0.000000,0.000000,0.000000,0.000000,0.000000,320.035680,24.392474,-1.000000,0.992621,0.005971,0.310721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2311,2698,1.12981248223738,1.16327328018178,-0.0185727488819225,0.000000,0.000000,0.000000,0.000000,0.000000,319.557243,24.351594,-1.000000,0.992292,0.006099,0.416820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2221,2668,-0.823311770265708,0.507231501531223,-0.0260775188333469,0.000000,0.000000,0.000000,0.000000,0.000000,320.126590,24.347472,-1.000000,0.993281,0.005605,0.394059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2221,2698,-0.828503953573168,1.16037932891383,-0.0258182150037101,0.000000,0.000000,0.000000,0.000000,0.000000,319.641853,24.365348,-1.000000,0.993979,0.005174,0.414882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2221,2638,-0.818636850670391,-0.146113026400542,-0.033684058521203,0.000000,0.000000,0.000000,0.000000,0.000000,320.549889,24.267823,-1.000000,0.986427,0.007296,0.435174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2281,2608,0.492736850301903,-0.797377955582988,-0.0261210424367277,0.000000,0.000000,0.000000,0.000000,0.000000,320.985925,24.294914,-1.000000,0.988441,0.006780,0.308153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2311,2608,1.14627544613282,-0.797865301622799,-0.0200209076307942,0.000000,0.000000,0.000000,0.000000,0.000000,321.007059,24.186307,-1.000000,0.991129,0.006101,0.386049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2311,2638,1.14110869049489,-0.144229644502559,-0.0152810342664225,0.000000,0.000000,0.000000,0.000000,0.000000,320.559652,24.251886,-1.000000,0.989327,0.006253,0.385994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2251,2608,-0.159752662669252,-0.799956183617475,-0.0204146535107839,0.000000,0.000000,0.000000,0.000000,0.000000,321.082173,24.223065,-1.000000,0.986702,0.007225,0.410205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2221,2608,-0.812897327438126,-0.800315938507673,-0.0260363295087132,0.000000,0.000000,0.000000,0.000000,0.000000,321.100336,24.256804,-1.000000,0.984112,0.007556,0.407170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2206,2683,-1.15198544324552,0.833524979423807,-0.024509246729906,0.000000,0.000000,0.000000,0.000000,0.000000,319.935514,24.396213,-1.000000,0.993410,0.005644,0.368494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2206,2713,-1.15751266031506,1.48664642826385,-0.0298146131149792,0.000000,0.000000,0.000000,0.000000,0.000000,319.404329,24.374997,-1.000000,0.987539,0.006761,0.423972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2236,2713,-0.505088601396043,1.4882229794455,-0.0277861563536135,0.000000,0.000000,0.000000,0.000000,0.000000,319.346371,24.424999,-1.000000,0.990439,0.005857,0.374534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2266,2713,0.148256206907863,1.48863229372139,-0.0154681794106182,0.000000,0.000000,0.000000,0.000000,0.000000,319.392215,24.450330,-1.000000,0.993166,0.005756,0.349732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2296,2713,0.799180737350124,1.49128136542234,-0.038608695641301,0.000000,0.000000,0.000000,0.000000,0.000000,319.158657,24.393402,-1.000000,0.993056,0.005854,0.407739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2206,2653,-1.14707599989987,0.180044590788746,-0.0280948315730711,0.000000,0.000000,0.000000,0.000000,0.000000,320.392464,24.329830,-1.000000,0.986568,0.007424,0.400852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2326,2653,1.46358980825492,0.185136236227343,-0.0322398777523745,0.000000,0.000000,0.000000,0.000000,0.000000,320.164810,24.305345,-1.000000,0.990053,0.006326,0.357049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2326,2683,1.458114436791,0.838855064141029,-0.0308796968302545,0.000000,0.000000,0.000000,0.000000,0.000000,319.688580,24.379718,-1.000000,0.992205,0.006161,0.352187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2326,2713,1.45274579603427,1.49296678197064,-0.0280293836860324,0.000000,0.000000,0.000000,0.000000,0.000000,319.224250,24.520196,-1.000000,0.987236,0.006955,0.281124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2296,2593,0.823741451818382,-1.12693942877842,-0.00255445838337209,0.000000,0.000000,0.000000,0.000000,0.000000,321.409819,24.183209,-1.000000,0.991582,0.005989,0.373244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2326,2593,1.47556880149784,-1.12426387286341,-0.0213298538208733,0.000000,0.000000,0.000000,0.000000,0.000000,321.230879,24.149083,-1.000000,0.991239,0.006165,0.372976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2326,2623,1.47048434845124,-0.470981787711523,-0.0148923610522615,0.000000,0.000000,0.000000,0.000000,0.000000,320.797896,24.188269,-1.000000,0.988935,0.006641,0.403778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2266,2593,0.169051231833198,-1.12610754616045,-0.0247205860704298,0.000000,0.000000,0.000000,0.000000,0.000000,321.263312,24.184081,-1.000000,0.987119,0.007095,0.408020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2236,2593,-0.483267410611553,-1.12777729325897,-0.0168511515977912,0.000000,0.000000,0.000000,0.000000,0.000000,321.385713,24.214852,-1.000000,0.987550,0.007113,0.411925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2206,2623,-1.14134035839222,-0.474118003059672,-0.0196893409929544,0.000000,0.000000,0.000000,0.000000,0.000000,320.949279,24.320424,-1.000000,0.985165,0.007678,0.375649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2206,2593,-1.13592236442964,-1.12801890179308,-0.0157799165074834,0.000000,0.000000,0.000000,0.000000,0.000000,321.468148,24.317115,-1.000000,0.987193,0.006869,0.344187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2191,2668,-1.47542440514119,0.506603448808924,-0.0223677552251615,0.000000,0.000000,0.000000,0.000000,0.000000,320.240319,24.432906,-1.000000,0.994349,0.005279,0.321011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2191,2698,-1.48016221978128,1.15760696604937,-0.0171449276631392,0.000000,0.000000,0.000000,0.000000,0.000000,319.798191,24.292982,-1.000000,0.994654,0.005039,0.490630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2251,2728,-0.181406385794446,1.81514705418563,-0.0258786585555413,0.000000,0.000000,0.000000,0.000000,0.000000,319.087851,24.436458,-1.000000,0.990744,0.005936,0.387227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2281,2728,0.471189352268869,1.81638225483054,-0.024374841042345,0.000000,0.000000,0.000000,0.000000,0.000000,319.051747,24.450026,-1.000000,0.992285,0.005867,0.378357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
