Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2026,2083,-4.96934376758079,-12.2792922890165,0.0246884378628351,0.001816,-0.000525,0.001508,0.079060,-0.033981,330.899410,24.790982,0.999358,0.987637,0.004460,0.306747,0.000024,0.000048,0.000040,0.000078,-0.000006,53.407010,0.000087,
2026,2098,-4.97141702191058,-11.9503893825122,0.0275804276028566,0.001795,-0.000450,0.002175,0.076294,-0.014129,330.680002,24.819078,0.998988,0.982382,0.005248,0.291539,0.000025,0.000043,0.000037,0.000071,-0.000004,51.901916,0.000080,
2026,2113,-4.9738706016009,-11.6213114380134,0.0187743319196443,0.002237,-0.001011,0.005166,0.088231,-0.016965,330.378386,24.763649,0.998408,0.978390,0.005941,0.338050,0.000019,0.000036,0.000040,0.000069,-0.000014,51.210941,0.000073,
2026,2128,-4.97630741854745,-11.2912393215498,0.0100702804919024,0.002207,-0.000024,0.000076,0.101101,0.005414,330.077783,24.781384,0.998607,0.977945,0.006054,0.336148,0.000010,0.000027,0.000039,0.000058,-0.000022,51.054506,0.000059,
2026,2143,-4.97838612859737,-10.9643647230643,0.0171160176615786,0.002173,-0.000511,0.004828,0.086396,0.011245,329.881727,24.699767,0.998058,0.978247,0.006027,0.416693,0.000010,0.000056,0.000031,0.000072,-0.000006,63.561485,0.000080,
2026,2158,-4.9812332165333,-10.6336458147962,0.0130518879194028,0.001750,-0.000478,0.004376,0.068215,-0.007414,329.588273,24.878887,0.999201,0.986557,0.004729,0.212347,0.000011,0.000031,0.000011,0.000036,0.000007,65.785304,0.000045,
2026,2173,-4.98286648219658,-10.3068252130553,0.0176151669528508,0.001994,-0.000756,0.003787,0.080982,-0.030572,329.398961,24.804239,0.999145,0.989166,0.004374,0.256449,0.000016,0.000024,0.000012,0.000033,0.000007,54.442637,0.000042,
2026,2188,-4.98541271995738,-9.97754296633767,0.00872578593424578,0.001814,0.000227,-0.002252,0.089534,-0.008835,329.092536,24.772535,0.999092,0.987257,0.004711,0.303257,0.000011,0.000050,0.000021,0.000059,0.000002,66.641955,0.000069,
2026,2203,-4.98820141706743,-9.64798376342289,-0.00459581223640271,0.002024,0.000359,-0.002273,0.099294,0.003717,328.750400,24.735460,0.999070,0.985478,0.004970,0.346326,0.000010,0.000046,0.000021,0.000055,0.000000,65.751978,0.000064,
2026,2218,-4.99031959483699,-9.32074488287603,-0.000290658752646777,0.001971,-0.000014,-0.000158,0.090979,-0.004632,328.537428,24.697633,0.998783,0.981993,0.005351,0.368205,0.000019,0.000037,0.000022,0.000051,0.000005,56.448166,0.000062,
2071,2293,-4.02221442846545,-7.68083309981728,-0.0025411409977778,0.001795,-0.000215,-0.001000,0.085238,-0.000955,327.051042,24.445725,0.999796,0.993569,0.003720,0.403856,0.000016,0.000008,0.000005,0.000019,0.000006,27.340457,0.000026,
2041,2143,-4.65155653700234,-10.9654781243804,0.0232258656458839,0.001859,-0.001164,0.004028,0.073814,-0.037605,329.831185,24.646938,0.998106,0.981567,0.005901,0.337614,0.000001,0.000046,0.000021,0.000055,-0.000007,68.159374,0.000059,
2236,3118,-0.571555584449698,10.2866743453611,0.0152779075820604,0.001988,-0.000256,0.000284,0.090622,-0.005120,313.196696,24.995246,0.999557,0.992400,0.003617,0.356210,-0.000006,0.000005,-0.000008,0.000009,-0.000010,-62.775645,0.000012,
2086,2368,-3.70766397672908,-6.04233017468929,-0.00172836210111882,0.001705,-0.000929,0.003906,0.066807,-0.013956,325.754779,24.371872,0.998520,0.982202,0.005321,0.408428,0.000003,-0.000009,-0.000001,0.000003,-0.000009,-5.719686,0.000009,
2056,2218,-4.33658148915807,-9.32085915606064,0.0102391427473094,0.001874,0.000268,-0.000316,0.087047,0.026738,328.445649,24.637435,0.998531,0.982657,0.005253,0.315763,0.000010,0.000026,0.000007,0.000028,0.000007,69.912469,0.000037,
2371,2398,2.49610383512006,-5.38353212519102,-0.00372141295042638,0.001828,-0.000203,0.001088,0.079866,0.007428,324.621496,23.508229,0.999369,0.988090,0.004593,0.418740,0.000012,0.000012,-0.000005,0.000017,0.000006,-45.190287,0.000024,
2011,1993,-5.28282727451429,-14.2517351070497,0.027640150062382,0.001835,0.000500,-0.002775,0.091849,-0.000187,332.469911,24.965469,0.998964,0.982411,0.005223,0.308003,0.000013,-0.000074,0.000009,0.000014,-0.000075,5.971717,0.000079,
2116,2518,-3.07969792694991,-2.76599782232667,-0.0173302892919764,0.001735,-0.000788,0.003851,0.068150,-0.013732,323.062234,24.362254,0.999283,0.987545,0.004379,0.366909,0.000008,0.000001,-0.000001,0.000008,0.000001,-8.766060,0.000010,
2296,2023,0.931403230216585,-13.602614870816,0.0298084748319525,0.002005,-0.000514,0.002783,0.082225,-0.001347,330.969586,22.890980,0.998943,0.981975,0.005517,0.444692,-0.000025,-0.000040,-0.000035,0.000003,-0.000068,-39.088431,0.000077,
2341,2248,1.87029986481842,-8.66672029964095,0.00678124018543258,0.001934,-0.001402,0.008543,0.058421,-0.020424,327.107058,23.248974,0.998921,0.982765,0.005186,0.356708,-0.000011,-0.000020,-0.000003,-0.000010,-0.000021,-15.635325,0.000031,
2476,2923,4.67919711255297,6.07103879658249,-0.0204766994942815,0.001954,-0.000179,-0.000160,0.090274,-0.008640,316.100566,25.279721,0.999297,0.986484,0.004451,0.304495,-0.000003,0.000005,0.000000,0.000005,-0.000003,87.988521,0.000005,
2431,2698,3.7439087953882,1.16938403383393,-0.0227020637800024,0.001915,-0.000951,0.003434,0.074835,-0.035272,319.647910,24.451227,0.999792,0.991710,0.003685,0.264906,0.000017,0.000039,-0.000019,0.000050,0.000007,-59.931365,0.000062,
2326,2173,1.55737455812949,-10.3092109616922,0.015115062351299,0.001647,-0.000907,0.006105,0.054139,-0.013558,328.384757,23.251381,0.998978,0.980197,0.005292,0.244765,-0.000014,-0.000014,-0.000009,-0.000005,-0.000023,-45.848560,0.000030,
2266,3268,0.052365142436944,13.5407206792055,0.0158193636398209,0.002083,-0.000363,0.003571,0.084031,-0.006434,310.678060,25.309749,0.999668,0.993114,0.003355,0.403292,0.000002,0.000026,0.000006,0.000027,0.000001,77.082341,0.000032,
2146,2668,-2.45134604430774,0.503571001154057,-0.0223641683575124,0.002207,-0.000119,-0.001718,0.106741,0.001569,320.504523,24.319804,0.999624,0.991820,0.003642,0.454057,0.000021,0.000021,0.000008,0.000029,0.000013,43.321927,0.000043,
2386,2473,2.80850105694102,-3.74367314789083,-0.00802456308394994,0.002086,-0.000864,0.003945,0.081197,-0.009471,323.380858,23.715464,0.999397,0.988987,0.004434,0.371683,0.000015,-0.000010,-0.000004,0.000015,-0.000010,-9.670891,0.000016,
