Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28549402439169,-14.2534557074248,0.0227740869779041,-0.000831,-0.001221,-0.007641,-0.017940,-0.058640,332.321811,24.812183,0.998570,0.980399,0.005598,0.403870,0.000505,0.000185,0.000119,0.000545,0.000145,18.338622,0.000728,
2026,2068,-4.96839326660371,-12.6097424607241,0.0280776916159198,0.000232,-0.001373,-0.000909,0.012688,-0.033040,331.102679,24.676142,0.999648,0.992044,0.003758,0.429164,0.000364,0.000301,0.000121,0.000457,0.000208,37.741135,0.000680,
2071,2293,-4.02216817297623,-7.68076184344712,-0.00419795591983529,0.001841,-0.000143,-0.002657,0.092103,0.019298,327.044010,24.415412,0.999755,0.992953,0.003893,0.454401,0.000108,0.000090,0.000039,0.000139,0.000059,38.442638,0.000203,
2041,2143,-4.65277496556459,-10.9646779843527,0.0151942565206582,0.000641,-0.000363,-0.004003,0.040365,-0.000144,329.730895,24.596605,0.998447,0.980959,0.005782,0.425868,0.000239,0.000251,0.000101,0.000346,0.000144,46.659594,0.000503,
2056,2218,-4.3366755581495,-9.32135866878343,0.00903073044571556,0.001780,-0.000232,-0.001524,0.085956,0.027671,328.434818,24.578411,0.998239,0.981570,0.005472,0.375386,0.000160,0.000141,0.000073,0.000224,0.000077,41.265046,0.000313,
2101,2443,-3.39239343916595,-4.40344752306081,-0.00756770677236318,0.002588,-0.000225,0.001567,0.114394,0.052221,324.470029,24.319309,0.999316,0.987552,0.004497,0.491074,0.000044,0.000016,0.000001,0.000044,0.000016,1.444233,0.000062,
2131,2593,-2.76506736884762,-1.12961140893078,-0.0241612663702426,0.002657,0.000020,0.002289,0.115532,0.084491,321.773343,24.299167,0.999411,0.989807,0.004250,0.532868,0.000011,0.000022,0.000002,0.000022,0.000011,78.190128,0.000034,
2026,2083,-4.97113972975202,-12.2799774115229,0.0223021877625342,0.000020,-0.001210,-0.000878,0.002903,-0.029722,330.804342,24.698466,0.999227,0.986332,0.004700,0.404059,0.000339,0.000308,0.000123,0.000447,0.000199,41.414649,0.000662,
2191,2893,-1.51024445553096,5.40023898720305,-0.00880687133764013,0.002960,-0.000492,0.004236,0.122986,0.036123,316.819516,24.580489,0.999791,0.994885,0.003153,0.426752,-0.000003,0.000011,0.000020,0.000025,-0.000017,54.782868,0.000025,
2341,2248,1.87068126663243,-8.66676163221216,0.00425302502952718,0.002316,-0.001443,0.006014,0.084658,0.009317,327.112181,23.189464,0.999200,0.981550,0.005144,0.446161,0.000123,0.000094,-0.000003,0.000123,0.000094,-6.550782,0.000218,
