Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2026,2068,-4.96554634390785,-12.6083813722108,0.0297381144716269,0.003079,-0.000012,0.000751,0.139241,0.008244,331.241277,24.776748,0.999699,0.992482,0.003631,0.369007,0.000001,-0.000062,0.000036,0.000018,-0.000079,24.330241,0.000083,
2011,1993,-5.28199639717592,-14.2514395017549,0.0283389253339124,0.002666,0.000795,-0.002076,0.128138,0.035114,332.511435,24.965014,0.998717,0.981624,0.005422,0.343464,0.000025,-0.000065,0.000080,0.000072,-0.000112,30.392191,0.000114,
2041,2143,-4.65031628939122,-10.964161497196,0.0170644569869296,0.003099,0.000153,-0.002133,0.148224,0.016124,329.853251,24.647047,0.998240,0.980693,0.005919,0.391020,-0.000015,0.000009,0.000023,0.000023,-0.000029,58.424809,0.000031,
2056,2218,-4.33530318277624,-9.3207793517193,0.00978694197334562,0.003153,0.000347,-0.000768,0.147044,0.037737,328.501476,24.628814,0.998597,0.981431,0.005342,0.334885,-0.000017,0.000041,0.000017,0.000046,-0.000021,74.469335,0.000046,
2071,2293,-4.02123228914207,-7.68022017062732,-0.00397798271745842,0.002777,0.000398,-0.002437,0.134642,0.026110,327.087830,24.460113,0.999795,0.993301,0.003773,0.416468,0.000000,0.000013,0.000010,0.000019,-0.000006,61.486257,0.000019,
2116,2518,-3.07871904077916,-2.76540920641562,-0.0177214952294662,0.002714,-0.000199,0.003459,0.114535,0.024230,323.104671,24.374624,0.999245,0.986758,0.004502,0.392240,-0.000010,0.000000,0.000004,0.000001,-0.000011,69.734954,0.000012,
2101,2443,-3.39171706662028,-4.40307781158018,-0.00775187833068003,0.003265,0.000145,0.001382,0.146101,0.025759,324.499988,24.377639,0.999402,0.987464,0.004455,0.406152,-0.000019,-0.000039,-0.000009,-0.000015,-0.000042,-20.614542,0.000059,
2131,2593,-2.76473739796298,-1.1296468121399,-0.024547326881077,0.002987,-0.000015,0.001902,0.131763,0.034604,321.786557,24.342228,0.999401,0.989987,0.004232,0.439979,-0.000017,-0.000004,0.000004,-0.000003,-0.000019,74.646154,0.000023,
2176,2818,-1.82491540982386,3.77106850211572,-0.0310512800574543,0.002627,-0.000147,0.001195,0.117243,0.010777,317.896392,24.543154,0.999337,0.990616,0.003947,0.351973,-0.000023,-0.000014,0.000002,-0.000014,-0.000023,80.582167,0.000038,
2011,2008,-5.28497576601936,-13.9210011958796,0.0186793047375318,0.002688,-0.000204,0.002583,0.116257,0.018581,332.179228,24.994583,0.998684,0.983958,0.005205,0.289582,0.000042,-0.000006,0.000108,0.000129,-0.000093,38.719760,0.000133,
2296,2023,0.932678068109272,-13.6019680563295,0.0269967382899949,0.003280,0.000133,-0.000028,0.150263,0.027435,331.013801,22.889148,0.999188,0.981525,0.005419,0.475132,-0.000009,-0.000012,-0.000013,0.000003,-0.000024,-42.220268,0.000026,
2026,2083,-4.96829371773159,-12.2793753395948,0.0288569711824493,0.002866,-0.000608,0.005677,0.115796,0.004835,330.970263,24.790437,0.999287,0.986773,0.004611,0.345605,-0.000006,-0.000027,0.000036,0.000021,-0.000054,36.744335,0.000054,
2506,3073,5.30378345973527,9.33110533581227,0.00455383367977902,0.002747,-0.000681,0.005999,0.102736,-0.003692,313.949108,25.824691,0.999664,0.991873,0.003894,0.430136,-0.000009,0.000008,0.000017,0.000018,-0.000019,58.944829,0.000022,
2191,2893,-1.51016705675805,5.40046346348225,-0.0126032283700965,0.003037,-0.000267,0.000440,0.138409,0.000207,316.803295,24.609326,0.999799,0.994857,0.003155,0.361985,-0.000013,-0.000005,0.000002,-0.000005,-0.000014,76.087707,0.000019,
2026,2113,-4.97298381570694,-11.6205592495428,0.0162919435833828,0.003124,-0.000259,0.002683,0.135967,0.000514,330.404825,24.787603,0.998506,0.978893,0.005831,0.331288,-0.000002,-0.000039,0.000028,0.000013,-0.000053,28.130823,0.000056,
2011,2038,-5.28895372155478,-13.2629721645489,0.00966762660766562,0.003215,0.000648,-0.002660,0.154912,0.006421,331.663090,24.909589,0.998412,0.980104,0.005558,0.346019,0.000005,-0.000101,0.000046,0.000022,-0.000118,20.422533,0.000126,
2386,2473,2.8094224223379,-3.74300481402793,-0.00940215168270697,0.003007,-0.000195,0.002568,0.128645,0.003322,323.416458,23.751044,0.999428,0.988935,0.004412,0.348969,-0.000004,-0.000021,0.000014,0.000004,-0.000029,30.042301,0.000031,
2206,2968,-1.19626193099192,7.03012272248326,-0.0012298110727329,0.003259,-0.000025,-0.001031,0.153416,0.006868,315.646832,24.729903,0.999389,0.990761,0.003837,0.355609,-0.000013,0.000002,-0.000003,0.000002,-0.000014,-80.291521,0.000015,
2071,2308,-4.02415203110344,-7.35088736374237,-0.0155338059990413,0.002908,0.000462,-0.001979,0.139394,0.009678,326.754641,24.493558,0.999812,0.992952,0.003901,0.365833,-0.000005,0.000006,0.000005,0.000008,-0.000007,67.016902,0.000009,
2041,2158,-4.65392393533116,-10.6323782328575,0.00017937883058039,0.003000,-0.000044,0.001890,0.132479,0.010671,329.455439,24.773828,0.999234,0.986705,0.004830,0.254984,-0.000019,-0.000013,0.000000,-0.000013,-0.000019,-88.650752,0.000033,
2401,2548,3.12192963512397,-2.10512444424609,-0.0145673838515563,0.003183,-0.000105,-0.000811,0.148950,0.007373,322.190351,23.875774,0.999353,0.989347,0.004557,0.425950,-0.000002,-0.000022,-0.000001,-0.000002,-0.000022,-4.237997,0.000026,
2311,2098,1.24557639507529,-11.9538515355695,0.0174903788822576,0.002997,-0.000045,0.001024,0.133741,0.012155,329.699504,23.113552,0.999491,0.981168,0.005356,0.311829,-0.000018,0.000015,-0.000009,0.000017,-0.000021,-75.747397,0.000022,
2086,2383,-3.70907304524969,-5.71237919147595,-0.013031042665375,0.002927,0.000112,-0.002793,0.142631,0.003860,325.493354,24.459390,0.998288,0.981533,0.005428,0.339570,-0.000014,-0.000021,-0.000009,-0.000008,-0.000027,-33.824383,0.000037,
2326,2173,1.55869362779207,-10.3084521643184,0.0119324164721775,0.002967,-0.000148,0.002922,0.125783,0.025784,328.429380,23.247340,0.998955,0.979232,0.005390,0.288237,-0.000015,-0.000018,-0.000008,-0.000008,-0.000025,-38.937294,0.000035,
2371,2398,2.49702687564997,-5.38322467143222,-0.00434015353221184,0.002751,0.000105,0.000470,0.124503,0.017295,324.660798,23.520425,0.999434,0.987571,0.004612,0.416382,-0.000003,-0.000013,0.000009,0.000002,-0.000018,29.512208,0.000019,
2176,2833,-1.82749344968368,4.09739038544814,-0.0385429470806002,0.003027,0.000054,0.000182,0.138826,0.009872,317.611398,24.514293,0.999602,0.994080,0.003415,0.392219,-0.000021,-0.000007,0.000004,-0.000006,-0.000022,73.317278,0.000029,
2221,3043,-0.883793902241162,8.65892022417447,0.00583079527422115,0.002861,-0.000309,0.001738,0.126202,0.010757,314.414667,24.844123,0.999717,0.993510,0.003262,0.373959,-0.000015,-0.000010,-0.000011,-0.000001,-0.000024,-51.233626,0.000029,
