Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.27910299105419,-14.2519276121698,0.0306374363327677,0.005560,0.000307,0.000222,0.254499,0.038318,332.656227,24.943065,0.998701,0.981860,0.005409,0.367508,0.000085,-0.000025,0.000132,0.000173,-0.000113,33.689301,0.000176,
2041,2143,-4.64725512467871,-10.9642379601426,0.0182882465215926,0.006160,0.000077,-0.000909,0.285341,0.010922,329.999759,24.657779,0.998200,0.980887,0.005921,0.374137,-0.000012,0.000001,0.000018,0.000014,-0.000025,54.775492,0.000025,
2086,2368,-3.70310043250363,-6.04167300125838,-0.0026216567011943,0.006269,-0.000271,0.003013,0.279326,0.050919,325.958180,24.357796,0.998372,0.981596,0.005435,0.486708,-0.000007,0.000017,-0.000005,0.000018,-0.000008,-78.733399,0.000018,
2056,2218,-4.33228670935679,-9.32036861608649,0.00818416913506326,0.006169,0.000758,-0.002371,0.290197,0.060818,328.630243,24.626056,0.998537,0.982435,0.005267,0.360105,-0.000028,0.000040,-0.000004,0.000041,-0.000028,-86.312579,0.000042,
2161,2743,-2.13448580534725,2.13811008240727,-0.0249442576066485,0.006178,-0.000062,0.005188,0.268503,0.042005,319.369636,24.422794,0.999351,0.989650,0.004140,0.437424,-0.000005,0.000006,-0.000011,0.000013,-0.000012,-57.415916,0.000014,
2026,2068,-4.96246113291108,-12.6087142324122,0.0316141674558708,0.006164,-0.000345,0.002627,0.275568,0.019093,331.392415,24.755786,0.999726,0.992345,0.003636,0.399628,0.000046,-0.000049,0.000080,0.000092,-0.000095,29.629317,0.000108,
2011,2023,-5.28383782680044,-13.5930276721843,0.0209367920002705,0.005873,0.000168,0.003392,0.260359,0.042010,332.101508,24.900578,0.998594,0.983940,0.005234,0.397694,0.000055,-0.000100,0.000091,0.000097,-0.000143,24.856581,0.000146,
2116,2518,-3.07528754490938,-2.76541692752106,-0.0192789751756095,0.006145,-0.000207,0.001902,0.276932,0.024882,323.253401,24.358631,0.999259,0.987886,0.004354,0.408800,-0.000004,0.000009,0.000002,0.000009,-0.000004,80.497673,0.000009,
2491,2998,4.9959259522383,7.70103854486932,0.00408378539856358,0.005847,-0.000092,0.004882,0.250006,0.037676,315.278354,25.538566,0.999405,0.988690,0.004041,0.414503,0.000016,-0.000006,-0.000005,0.000017,-0.000007,-11.543113,0.000018,
2131,2593,-2.76165256340007,-1.12953497014777,-0.0226123261287512,0.006072,0.000097,0.003837,0.267924,0.058334,321.938069,24.345052,0.999412,0.990701,0.004112,0.460467,-0.000017,0.000019,-0.000002,0.000019,-0.000017,-86.314887,0.000021,
2101,2443,-3.3885470921003,-4.40330788295882,-0.00478334161806515,0.006435,-0.000085,0.004351,0.283109,0.059397,324.660958,24.350273,0.999364,0.987972,0.004421,0.466648,-0.000009,-0.000012,-0.000012,0.000002,-0.000023,-41.446702,0.000026,
2221,3043,-0.880891083576575,8.65926787405452,0.00967340607138567,0.005764,0.000038,0.005580,0.247860,0.067823,314.567641,24.844021,0.999715,0.993868,0.003193,0.431602,-0.000001,0.000005,-0.000005,0.000008,-0.000004,-59.564582,0.000008,
2041,2158,-4.6505795724589,-10.632796302831,0.0037980428740525,0.006344,-0.000462,0.005509,0.275855,0.022899,329.628095,24.761464,0.999360,0.986954,0.004719,0.278476,-0.000020,-0.000015,-0.000008,-0.000009,-0.000026,-55.580368,0.000036,
2236,3118,-0.567672187402156,10.2873368944916,0.0198241225405127,0.005872,0.000407,0.004830,0.255267,0.080764,313.398178,24.998321,0.999607,0.992030,0.003639,0.440097,-0.000008,0.000001,-0.000007,0.000004,-0.000012,-61.868105,0.000012,
2476,2923,4.68323432787833,6.07151619227645,-0.0202788819792659,0.005991,0.000298,0.000038,0.275289,0.040965,316.287188,25.274805,0.999379,0.986066,0.004445,0.359499,0.000006,-0.000010,-0.000018,0.000017,-0.000022,-32.916874,0.000023,
2266,3283,0.0528875008313925,13.8666588078721,0.00730243076714032,0.005962,0.000196,0.003858,0.262383,0.057462,310.537865,25.310028,0.999518,0.992760,0.003392,0.491962,0.000003,0.000036,-0.000009,0.000038,0.000000,-75.074374,0.000044,
2056,2248,-4.33752961614949,-8.66501259772999,0.00555585896665889,0.005881,-0.000390,0.002075,0.264181,0.005283,328.101165,24.568124,0.999066,0.985870,0.004813,0.357014,-0.000030,0.000059,0.000002,0.000059,-0.000030,88.595336,0.000059,
2176,2833,-1.82451506986029,4.09710398236949,-0.0324888648497108,0.006005,-0.000233,0.006236,0.257126,0.031924,317.779819,24.511204,0.999660,0.993935,0.003396,0.417233,0.000004,0.000019,0.000004,0.000020,0.000003,75.258268,0.000025,
2011,2038,-5.28544921426503,-13.2631041132519,0.0104847550041427,0.006719,0.000516,-0.001843,0.313444,0.035041,331.827319,24.877525,0.998318,0.980501,0.005567,0.405457,0.000042,-0.000096,0.000078,0.000077,-0.000131,24.305981,0.000131,
2296,2038,0.933261831842078,-13.2713594436189,0.0352458489242053,0.006085,0.000163,0.001356,0.274037,0.035698,330.963874,23.127404,0.999316,0.984315,0.004976,0.277359,-0.000017,-0.000013,-0.000032,0.000017,-0.000047,-46.878761,0.000047,
2191,2893,-1.50710365734585,5.40092216402346,-0.0119041551117789,0.006101,0.000191,0.001139,0.277560,0.056678,316.947317,24.599793,0.999789,0.995170,0.003099,0.428208,0.000007,0.000030,0.000004,0.000030,0.000006,80.337643,0.000039,
2371,2398,2.50012255124538,-5.38294337584713,-0.00414680737668505,0.005846,0.000386,0.000663,0.265880,0.048354,324.803563,23.516426,0.999431,0.988096,0.004552,0.450957,0.000008,0.000016,0.000006,0.000019,0.000005,63.685968,0.000025,
2026,2083,-4.96501784768595,-12.2787598100489,0.0245617253744399,0.006142,0.000007,0.001381,0.278087,0.009300,331.095708,24.794095,0.999248,0.987017,0.004618,0.345508,0.000034,-0.000014,0.000071,0.000085,-0.000065,35.694113,0.000089,
2071,2308,-4.0209303476107,-7.35055092922117,-0.0157604533246172,0.006130,0.000798,-0.002205,0.288170,0.047046,326.900405,24.484193,0.999787,0.993085,0.003923,0.411757,0.000000,0.000024,0.000001,0.000024,0.000000,88.326528,0.000027,
2071,2293,-4.01796772060503,-7.68025105110206,-0.00154390159258355,0.006042,0.000367,-0.000003,0.277677,0.046783,327.250209,24.460528,0.999793,0.993459,0.003755,0.435964,-0.000001,0.000036,0.000009,0.000038,-0.000003,76.290872,0.000043,
2251,3208,-0.256498899006949,12.237988470527,0.0424608138307008,0.006044,-0.000480,0.005534,0.260465,0.038802,312.088927,25.154463,0.999722,0.995456,0.003011,0.434621,-0.000001,0.000025,-0.000006,0.000026,-0.000003,-76.827183,0.000029,
2011,2008,-5.2823418943349,-13.9213517822306,0.0222295668067432,0.005322,-0.000555,0.006133,0.227395,0.029424,332.319128,24.991635,0.998746,0.984390,0.005127,0.302419,0.000069,-0.000044,0.000120,0.000145,-0.000120,32.326027,0.000155,
2356,2323,2.18732944879256,-7.02485825165413,0.00717267123792453,0.005825,-0.000450,0.009750,0.232597,0.051325,326.073430,23.334081,0.999720,0.994275,0.003630,0.479307,-0.000019,-0.000015,-0.000004,-0.000013,-0.000022,-59.004132,0.000035,
2386,2473,2.8122376206432,-3.7428228974765,-0.00993459769460969,0.005822,-0.000013,0.002035,0.259775,0.036118,323.543004,23.729518,0.999457,0.989364,0.004324,0.403063,0.000012,-0.000001,0.000009,0.000017,-0.000005,26.902232,0.000017,
2146,2668,-2.44733780557405,0.504347571017746,-0.022316320570269,0.006215,0.000657,-0.001670,0.291357,0.070092,320.688074,24.322455,0.999612,0.991846,0.003639,0.520123,-0.000002,0.000010,-0.000001,0.000011,-0.000002,-84.229803,0.000011,
2341,2248,1.87443327353503,-8.66554505780726,0.00316655008106181,0.006068,-0.000226,0.004928,0.260834,0.038389,327.278543,23.259730,0.999177,0.982671,0.005043,0.404229,-0.000019,-0.000021,-0.000018,-0.000001,-0.000038,-43.639442,0.000045,
