Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.29070696296491,-14.2889217496089,0.0214217371902237,-0.006044,-0.036687,-0.008994,-0.263993,-1.697873,332.092102,23.204214,0.998344,0.980988,0.005634,0.375198,0.001014,0.000628,0.000145,0.001063,0.000579,18.459840,0.001666,
2026,2068,-4.97305283363715,-12.6437828975798,0.0228876394081112,-0.004427,-0.035413,-0.006099,-0.197281,-1.631948,330.876158,23.112644,0.999586,0.990312,0.004125,0.395898,0.000823,0.000634,0.000159,0.000914,0.000543,29.649400,0.001472,
2041,2143,-4.65589434594661,-10.9987442006901,0.0110049331802884,-0.002479,-0.034430,-0.008193,-0.101774,-1.599972,329.580069,23.040956,0.998032,0.979479,0.006104,0.383240,0.000631,0.000578,0.000121,0.000728,0.000481,38.885211,0.001217,
2086,2368,-3.70929864552471,-6.0746838688427,-0.00937838206351671,0.000071,-0.033282,-0.003744,0.003154,-1.511806,325.651930,22.833301,0.998193,0.980458,0.005602,0.449503,0.000292,0.000200,0.000042,0.000308,0.000184,20.988064,0.000498,
2101,2443,-3.39428485690637,-4.43622084451884,-0.00668623941396618,0.000697,-0.032998,0.002448,0.013972,-1.450018,324.401640,22.826740,0.999279,0.987603,0.004510,0.481373,0.000205,0.000102,0.000033,0.000215,0.000092,16.365893,0.000315,
2071,2293,-4.02486262772395,-7.7137040245257,-0.00719062599341669,-0.000853,-0.033086,-0.005649,-0.033761,-1.508211,326.918348,22.899539,0.999763,0.992826,0.003910,0.443511,0.000392,0.000294,0.000071,0.000430,0.000257,27.824065,0.000694,
2266,3268,0.0545752460206863,13.507985484131,0.0244157468474668,0.004293,-0.033099,0.012168,0.144960,-1.463379,310.835349,23.790069,0.999636,0.992648,0.003455,0.463899,0.000004,-0.000005,0.000012,0.000013,-0.000013,34.772730,0.000015,
2026,2098,-4.97681076011265,-11.9846605374374,0.014829274556746,-0.003599,-0.034721,-0.010577,-0.146855,-1.626067,330.378056,23.164519,0.998958,0.980632,0.005432,0.337053,0.000749,0.000631,0.000158,0.000859,0.000521,34.764454,0.001394,
2161,2743,-2.13820497835916,2.1050678370362,-0.0254163234918678,0.002459,-0.033104,0.004716,0.087141,-1.466805,319.209603,22.890689,0.999418,0.988810,0.004202,0.459585,0.000045,0.000052,-0.000014,0.000063,0.000033,-52.450960,0.000098,
2296,2023,0.929208931898671,-13.64096561027,0.0186318233149905,-0.000189,-0.038864,-0.008393,0.004887,-1.791003,330.827989,21.057095,0.998712,0.980216,0.005797,0.486035,0.000817,0.000867,-0.000023,0.000876,0.000808,-68.682922,0.001684,
2056,2218,-4.34010017388971,-9.35404677690271,0.00296127648658739,-0.001644,-0.032920,-0.007594,-0.064593,-1.504826,328.259019,23.060543,0.998394,0.981210,0.005442,0.362304,0.000498,0.000462,0.000122,0.000603,0.000357,40.818208,0.000971,
2206,2968,-1.1960470505188,6.99737762218252,0.00562210587787604,0.003474,-0.032771,0.005821,0.129655,-1.450087,315.704660,23.217501,0.999376,0.990699,0.003846,0.409322,0.000010,0.000016,0.000005,0.000019,0.000007,63.246177,0.000027,
2236,3118,-0.569746247050151,10.2541926599765,0.0249242723095904,0.003798,-0.032738,0.009930,0.130634,-1.438096,313.341410,23.491538,0.999562,0.991789,0.003704,0.425309,-0.000004,0.000003,-0.000011,0.000011,-0.000012,-54.225457,0.000014,
2026,2083,-4.97570528353152,-12.3141149796664,0.0178710523658765,-0.004546,-0.035348,-0.005309,-0.204897,-1.625800,330.586297,23.131391,0.999143,0.986128,0.004777,0.377216,0.000785,0.000644,0.000162,0.000891,0.000538,33.269242,0.001444,
2176,2818,-1.82541882698691,3.73831977240737,-0.0238512274408436,0.002124,-0.032896,0.008395,0.060101,-1.445305,317.923701,23.041247,0.999367,0.989805,0.004050,0.396378,0.000035,0.000057,-0.000007,0.000059,0.000033,-73.235736,0.000093,
2011,2038,-5.2965838660242,-13.298684616066,-0.00367732938047993,-0.004415,-0.035064,-0.016005,-0.169906,-1.683175,331.256404,23.193667,0.997510,0.978435,0.006043,0.376132,0.000891,0.000574,0.000144,0.000947,0.000518,21.196133,0.001486,
2506,3073,5.30462398354133,9.29772131802966,0.00899207904683408,0.003587,-0.034065,0.010437,0.109709,-1.504072,314.018302,24.274430,0.999627,0.991681,0.003953,0.473926,0.000018,0.000012,0.000030,0.000046,-0.000015,42.108291,0.000047,
2131,2593,-2.76592610154258,-1.16242615597168,-0.0207211537273224,0.001799,-0.032794,0.005729,0.054438,-1.431261,321.765543,22.832642,0.999301,0.989426,0.004371,0.482832,0.000102,0.000044,0.000009,0.000103,0.000043,8.750390,0.000150,
2221,3043,-0.883496771685802,8.6262218778027,0.0146698618252117,0.003158,-0.033008,0.010577,0.099482,-1.441391,314.486177,23.339842,0.999702,0.993411,0.003294,0.424154,0.000004,0.000007,-0.000010,0.000015,-0.000005,-49.479137,0.000016,
2071,2308,-4.02814560429196,-7.3843331781443,-0.0158874392961934,-0.001085,-0.032984,-0.002332,-0.053842,-1.486893,326.583974,22.927081,0.999803,0.992485,0.003998,0.436633,0.000369,0.000270,0.000060,0.000397,0.000242,25.046605,0.000645,
2371,2398,2.49537060836392,-5.41727249334153,-0.00610110206582704,0.001094,-0.033943,-0.001291,0.041191,-1.518461,324.587911,21.920576,0.999275,0.987225,0.004766,0.476277,0.000254,0.000205,0.000015,0.000258,0.000201,15.432488,0.000461,
2116,2518,-3.08019761867871,-2.7982664045804,-0.0215640590610064,0.001235,-0.033056,-0.000383,0.046829,-1.473138,323.029643,22.824025,0.999151,0.986627,0.004564,0.445169,0.000149,0.000052,0.000019,0.000153,0.000048,10.888149,0.000210,
