Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28013402004945,-14.2508675699084,0.0221478291382482,0.004529,0.001367,-0.008268,0.230454,0.034800,332.561667,24.946263,0.998780,0.982736,0.005290,0.361422,-0.000074,-0.000247,-0.000037,-0.000066,-0.000254,-11.500930,0.000338,
2011,2008,-5.28328410145012,-13.9203761234792,0.0131275469865386,0.004379,0.000421,-0.002969,0.209037,0.027869,332.225186,24.978837,0.998908,0.984833,0.005011,0.314322,-0.000077,-0.000209,-0.000050,-0.000060,-0.000226,-18.602262,0.000302,
2011,2023,-5.28537579071072,-13.5924465518681,0.0132002262977835,0.004335,0.000749,-0.004345,0.210848,0.036421,331.988111,24.872066,0.998710,0.984471,0.005133,0.421300,-0.000069,-0.000221,-0.000051,-0.000054,-0.000236,-16.835813,0.000309,
2011,2038,-5.28722558721976,-13.262421169621,0.00584737993307272,0.004943,0.001199,-0.006480,0.244656,0.044164,331.720246,24.878968,0.998397,0.980548,0.005534,0.413884,-0.000059,-0.000199,-0.000040,-0.000048,-0.000210,-14.924321,0.000274,
2011,2053,-5.29024517839542,-12.9341973806892,0.0146880294354332,0.004146,-0.000412,0.003503,0.180653,0.025337,331.489976,24.935551,0.999353,0.991751,0.003904,0.330008,-0.000048,-0.000177,-0.000030,-0.000042,-0.000183,-12.518663,0.000240,
2011,2068,-5.29155950443222,-12.607234225494,0.0214925675634845,0.004451,-0.000389,0.001511,0.200064,0.003768,331.326380,24.861425,0.999347,0.991618,0.003918,0.373413,-0.000046,-0.000096,-0.000002,-0.000046,-0.000096,-1.944023,0.000145,
2011,2083,-5.29397730822778,-12.276730023356,0.0111764047331917,0.004596,0.000192,-0.001962,0.216298,0.034477,331.015903,24.873914,0.998544,0.982852,0.005377,0.383720,-0.000050,-0.000063,-0.000003,-0.000049,-0.000063,-13.878667,0.000113,
2011,2098,-5.29622238839429,-11.9462642097317,0.00526481379159804,0.004699,0.001208,-0.004682,0.228670,0.088270,330.737802,24.914952,0.998315,0.979346,0.005849,0.387677,-0.000046,-0.000071,-0.000003,-0.000046,-0.000071,-6.412331,0.000118,
2011,2113,-5.2978692622235,-11.6196742442078,0.013836898213583,0.004708,0.000649,-0.004445,0.228311,0.045836,330.569192,24.862304,0.998289,0.981149,0.005745,0.388714,-0.000045,-0.000079,0.000004,-0.000044,-0.000079,6.882552,0.000125,
2011,2128,-5.30056644184681,-11.2897351351685,0.00610442611662165,0.004658,0.000470,-0.004051,0.224943,0.051931,330.260679,24.894717,0.998109,0.979791,0.006033,0.354005,-0.000051,-0.000072,0.000011,-0.000046,-0.000077,23.409071,0.000124,
2011,2143,-5.30339815791041,-10.9618244124661,0.00726001214326288,0.004286,0.000107,0.002205,0.190820,0.083590,329.995987,24.818721,0.997826,0.980137,0.005919,0.452540,-0.000028,-0.000021,0.000008,-0.000016,-0.000034,56.750678,0.000050,
