Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.29216351244105,-14.3230275363258,0.00991788701043106,-0.007501,-0.070793,-0.020498,-0.309954,-3.301801,331.976500,21.567998,0.998105,0.980349,0.005797,0.409391,0.001395,0.001117,0.000196,0.001496,0.001015,27.354152,0.002527,
2071,2293,-4.02462741316939,-7.74571472161551,-0.0198824730690603,-0.000618,-0.065096,-0.018341,0.002857,-3.019494,326.873350,21.354452,0.999738,0.993047,0.003907,0.477749,0.000537,0.000474,0.000090,0.000601,0.000410,35.399873,0.001016,
2026,2068,-4.97385468655995,-12.6773307644484,0.0097848965593812,-0.005229,-0.068961,-0.019202,-0.208434,-3.237188,330.781601,21.511730,0.999400,0.989863,0.004349,0.393037,0.001111,0.000939,0.000173,0.001218,0.000831,31.787361,0.002061,
2041,2143,-4.65684961042253,-11.0327190475941,0.00772605528834447,-0.003434,-0.068404,-0.011472,-0.147089,-3.151546,329.532782,21.454933,0.997789,0.980809,0.006061,0.418383,0.000860,0.000836,0.000153,0.001001,0.000695,42.741971,0.001706,
2056,2218,-4.34011177532782,-9.38751727662496,-0.00341625303826731,-0.001656,-0.066391,-0.013971,-0.057794,-3.050445,328.237617,21.480473,0.998051,0.981006,0.005621,0.397206,0.000676,0.000635,0.000130,0.000787,0.000524,40.583467,0.001320,
2086,2368,-3.70809449239257,-6.10700421926425,-0.0167529630929835,0.001275,-0.065603,-0.011119,0.069164,-3.018533,325.680404,21.308707,0.997994,0.980822,0.005634,0.467207,0.000400,0.000289,0.000040,0.000413,0.000276,17.878178,0.000694,
2026,2083,-4.97600009463877,-12.3472511338472,0.00490662651787943,-0.004841,-0.068484,-0.018274,-0.193044,-3.212341,330.515442,21.551079,0.998901,0.985904,0.004945,0.372101,0.001067,0.000937,0.000180,0.001193,0.000811,35.018337,0.002016,
2221,3043,-0.880314784464286,8.59371010848331,0.011719984212732,0.006340,-0.065520,0.007627,0.243408,-2.948907,314.629605,21.830079,0.999641,0.993242,0.003384,0.425097,0.000014,0.000010,-0.000004,0.000016,0.000008,-29.824628,0.000024,
2146,2668,-2.44922863421969,0.438537316536355,-0.0218800112750159,0.004325,-0.065153,-0.001234,0.180103,-2.954833,320.629896,21.305654,0.999596,0.991001,0.003788,0.510160,0.000114,0.000038,0.000001,0.000114,0.000038,0.874558,0.000159,
2266,3268,0.0582709458340993,13.475533099817,0.024842174258481,0.007989,-0.065551,0.012594,0.301340,-2.967467,311.019640,22.298269,0.999586,0.992632,0.003505,0.450051,0.000004,0.000045,0.000002,0.000045,0.000004,86.871155,0.000055,
2101,2443,-3.39282557341425,-4.46853647673795,-0.0135721457687055,0.002156,-0.065314,-0.004438,0.090377,-2.973304,324.444610,21.323700,0.999219,0.987672,0.004534,0.460872,0.000294,0.000143,0.000024,0.000298,0.000139,8.938396,0.000446,
2191,2893,-1.50749346088678,5.33542909257251,-0.0078005438978721,0.005711,-0.065302,0.005243,0.222903,-2.958061,316.976148,21.614542,0.999751,0.994671,0.003260,0.395732,0.000021,0.000033,-0.000010,0.000039,0.000016,-60.199561,0.000056,
2161,2743,-2.13568902878196,2.07279945748795,-0.0269395760290081,0.004975,-0.065373,0.003193,0.196155,-2.967625,319.329699,21.412260,0.999335,0.988819,0.004246,0.436110,0.000069,0.000035,-0.000019,0.000077,0.000027,-24.283955,0.000108,
2071,2323,-4.02829306504939,-7.09039244429749,-0.011840210052867,0.000405,-0.065666,-0.008832,0.022566,-3.011470,326.476891,21.390441,0.999077,0.987399,0.004702,0.447048,0.000462,0.000370,0.000057,0.000489,0.000342,25.715840,0.000836,
2176,2818,-1.82266111730321,3.70619830730581,-0.0274401290399169,0.004882,-0.065017,0.004806,0.186614,-2.949283,318.044025,21.561992,0.999268,0.990040,0.004068,0.370767,0.000039,0.000035,-0.000015,0.000052,0.000022,-41.346355,0.000076,
2506,3073,5.30773172450341,9.26474368480482,0.0105763369136298,0.006695,-0.067043,0.012021,0.231981,-3.021665,314.179104,22.760165,0.999614,0.991391,0.004010,0.464755,0.000033,0.000024,0.000055,0.000084,-0.000027,42.739403,0.000086,
2101,2458,-3.39558966265334,-4.14076441360833,-0.0176311064647052,0.002055,-0.065305,-0.003932,0.084251,-2.965101,324.162414,21.317925,0.999273,0.988290,0.004376,0.477541,0.000272,0.000122,0.000016,0.000274,0.000120,6.182413,0.000404,
2431,2698,3.74708444219067,1.10365015442201,-0.024781707734121,0.005091,-0.066685,0.001355,0.200927,-3.024161,319.805813,21.381164,0.999740,0.991655,0.003748,0.335931,0.000117,0.000088,0.000005,0.000118,0.000087,10.350543,0.000205,
2266,3283,0.0546582765346741,13.8005772833345,0.0158176681146074,0.007733,-0.065885,0.012373,0.290197,-2.982467,310.686941,22.291095,0.999476,0.992224,0.003503,0.466291,0.000003,0.000048,0.000002,0.000048,0.000003,86.841558,0.000057,
2176,2833,-1.82528935045686,4.0322091519303,-0.0326678802489369,0.005231,-0.065128,0.006057,0.198793,-2.943530,317.768685,21.513821,0.999601,0.993856,0.003458,0.436884,0.000037,0.000034,-0.000011,0.000047,0.000024,-41.898872,0.000073,
2071,2308,-4.02759009206691,-7.41652076061767,-0.027023041580776,-0.000530,-0.065171,-0.013468,-0.007002,-3.018002,326.562219,21.401385,0.999750,0.992732,0.004031,0.431483,0.000494,0.000426,0.000069,0.000537,0.000383,31.855628,0.000924,
2116,2533,-3.08120594669311,-2.5036624240746,-0.0259376088625345,0.002702,-0.065203,-0.003641,0.113042,-2.957705,322.840771,21.292427,0.998922,0.985264,0.004903,0.496443,0.000200,0.000101,0.000019,0.000204,0.000098,10.337204,0.000308,
2236,3133,-0.569509601550276,10.5469368921462,0.0204989212014652,0.006937,-0.065648,0.008884,0.266261,-2.961896,313.219105,21.996205,0.999604,0.992079,0.003759,0.415499,-0.000004,0.000022,0.000000,0.000022,-0.000004,-89.866468,0.000023,
2401,2548,3.12322854258937,-2.17195055001577,-0.013907424493766,0.004482,-0.066931,-0.000151,0.178858,-3.015012,322.275320,20.771848,0.999166,0.988793,0.004758,0.497848,0.000221,0.000114,0.000009,0.000222,0.000113,4.652168,0.000341,
2236,3118,-0.566536675431891,10.2215509610688,0.0230138621948299,0.007007,-0.065379,0.008019,0.272392,-2.950912,313.491529,21.980658,0.999566,0.991751,0.003704,0.422061,0.000000,0.000017,-0.000001,0.000017,0.000000,-88.239869,0.000020,
2161,2758,-2.13830806857208,2.39861871437662,-0.0218941977178133,0.004676,-0.065668,0.005457,0.175378,-2.968302,319.107758,21.409902,0.998997,0.985765,0.004543,0.448038,0.000063,0.000033,-0.000019,0.000073,0.000024,-25.720461,0.000101,
2251,3208,-0.255082602862654,12.1724497474679,0.0467525811009182,0.007460,-0.066019,0.009825,0.286568,-2.986862,312.200433,22.154202,0.999685,0.994732,0.003216,0.404942,-0.000003,0.000048,-0.000004,0.000048,-0.000003,-85.360459,0.000054,
2206,2968,-1.19305171774548,6.96508898494358,0.00288296743514138,0.006470,-0.065059,0.003082,0.264414,-2.944782,315.840457,21.717940,0.999323,0.990264,0.003949,0.413123,0.000019,0.000014,-0.000005,0.000022,0.000012,-30.077928,0.000034,
2026,2098,-4.97720538706617,-12.0174263151272,0.00296547632905231,-0.003994,-0.067487,-0.022440,-0.142518,-3.164186,330.308422,21.582127,0.998892,0.980314,0.005502,0.382408,0.001019,0.000924,0.000182,0.001160,0.000783,37.675941,0.001955,
