Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.27989933941526,-14.2523106370844,0.035285136517814,0.004763,-0.000076,0.004870,0.205286,0.055074,332.645845,24.944780,0.998721,0.981771,0.005384,0.382676,0.000057,-0.000206,-0.000059,0.000069,-0.000218,-12.036011,0.000223,
2026,2068,-4.963751264663,-12.6089234142289,0.0350277852039653,0.004874,-0.000554,0.006041,0.206932,0.048811,331.352401,24.745224,0.999716,0.992046,0.003691,0.440350,0.000024,-0.000064,-0.000004,0.000024,-0.000064,-2.338502,0.000065,
2011,2008,-5.28316078225738,-13.9219355771028,0.0270859023723915,0.004503,-0.001139,0.010989,0.176507,0.046249,332.308921,24.977066,0.998790,0.984000,0.005131,0.334012,0.000073,-0.000081,-0.000003,0.000073,-0.000081,-1.155848,0.000089,
2026,2083,-4.9667020163291,-12.2797606321991,0.0329076922502054,0.004457,-0.000993,0.009727,0.177604,0.043596,331.065226,24.761020,0.999274,0.986662,0.004630,0.413139,0.000011,-0.000035,-0.000001,0.000011,-0.000035,-1.605162,0.000036,
2041,2143,-4.64859119607341,-10.9644292255954,0.0221869040469187,0.004824,-0.000115,0.002989,0.213105,0.063084,329.960078,24.630516,0.998386,0.980214,0.005883,0.453988,-0.000020,0.000005,-0.000004,0.000005,-0.000021,-80.128900,0.000022,
2011,2023,-5.28480897624538,-13.5937266574903,0.025303018415741,0.004902,-0.000531,0.007758,0.203770,0.050689,332.081690,24.877797,0.998501,0.983463,0.005317,0.429287,0.000055,-0.000142,-0.000013,0.000056,-0.000143,-3.683753,0.000144,
2026,2098,-4.96848477906099,-11.9502090149519,0.0302677515797427,0.004727,-0.000270,0.004862,0.203529,0.059938,330.828269,24.790555,0.998958,0.981240,0.005360,0.393290,0.000002,-0.000017,0.000004,0.000003,-0.000018,11.027254,0.000019,
2011,2038,-5.28667954201861,-13.2638044828163,0.0166305291567141,0.005489,-0.000184,0.004303,0.240145,0.055107,331.805561,24.862975,0.998312,0.979909,0.005601,0.440410,0.000036,-0.000119,-0.000014,0.000038,-0.000120,-5.050812,0.000123,
2041,2158,-4.6520484991223,-10.6337501089222,0.011667013101146,0.004875,-0.001416,0.013378,0.186281,0.039752,329.604593,24.741945,0.999389,0.986459,0.004747,0.314947,-0.000027,-0.000004,-0.000013,0.000002,-0.000033,-66.216768,0.000037,
2011,2053,-5.28954563135431,-12.93525025189,0.0219008544969483,0.004845,-0.001464,0.010716,0.192948,0.020902,331.562382,24.924362,0.999456,0.991159,0.003905,0.336434,0.000027,-0.000103,-0.000034,0.000036,-0.000111,-13.641087,0.000113,
