Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28248834688359,-14.2476885728736,0.0319549260695453,0.002174,0.004546,0.001540,0.096921,0.227740,332.507454,25.155769,0.998626,0.980555,0.005555,0.345230,0.000033,-0.000138,-0.000023,0.000036,-0.000141,-7.590242,0.000147,
2026,2068,-4.96572069335802,-12.6045163371532,0.0340578527236062,0.002905,0.003853,0.005071,0.120559,0.238186,331.255364,24.947537,0.999692,0.991786,0.003762,0.427809,0.000028,-0.000090,-0.000012,0.000029,-0.000091,-5.634763,0.000093,
2041,2143,-4.65101615535891,-10.9611979197936,0.0267225065771868,0.002399,0.003117,0.007525,0.090233,0.205393,329.873095,24.832420,0.998080,0.980043,0.006034,0.394689,0.000011,-0.000004,0.000011,0.000017,-0.000009,27.376484,0.000017,
2056,2218,-4.33584973650096,-9.31644329437619,0.0158100833897379,0.002606,0.004683,0.005255,0.106388,0.295830,328.507473,24.829967,0.998561,0.980372,0.005456,0.391785,0.000013,0.000052,0.000032,0.000070,-0.000006,60.558894,0.000078,
2071,2293,-4.02148388391104,-7.67630285772992,0.00310979608536854,0.002526,0.004315,0.004651,0.104182,0.260540,327.113145,24.655513,0.999780,0.993132,0.003829,0.455147,0.000024,0.000033,0.000024,0.000053,0.000004,50.227260,0.000064,
2266,3268,0.0531597317556312,13.5457683506775,0.0195638991173723,0.002877,0.004684,0.007316,0.110362,0.265734,310.731660,25.524496,0.999624,0.992617,0.003475,0.461159,0.000008,0.000055,0.000010,0.000057,0.000006,78.674423,0.000069,
2011,2008,-5.28536431898252,-13.9167633317097,0.0203197405061246,0.002299,0.004034,0.004223,0.095248,0.232216,332.168727,25.186101,0.998845,0.982986,0.005224,0.311673,0.000031,-0.000204,-0.000040,0.000037,-0.000211,-9.384331,0.000225,
2206,2968,-1.19647173299649,7.03463687289957,0.00509934167507708,0.003049,0.004489,0.005298,0.125470,0.266003,315.668145,24.930639,0.999342,0.990578,0.003886,0.414129,0.000001,0.000028,0.000004,0.000029,0.000001,81.193243,0.000034,
2176,2818,-1.82516891097631,3.77565645564312,-0.0249197150619693,0.002374,0.004441,0.007326,0.088340,0.281244,317.914967,24.741743,0.999395,0.989993,0.003996,0.423995,0.000008,0.000054,0.000001,0.000054,0.000008,89.001408,0.000067,
2191,2893,-1.5103260874957,5.4050924728215,-0.00713128151272713,0.002878,0.004362,0.005912,0.115754,0.269922,316.822596,24.805773,0.999766,0.994678,0.003236,0.435249,0.000006,0.000042,-0.000001,0.000042,0.000006,-88.833817,0.000052,
2101,2443,-3.39256855822146,-4.39951597749234,0.000971702585900402,0.002413,0.003706,0.010106,0.082726,0.258221,324.506383,24.553591,0.999350,0.987498,0.004479,0.462638,-0.000008,0.000004,-0.000017,0.000016,-0.000020,-54.914141,0.000021,
2101,2458,-3.3947645289324,-4.07167803939524,-0.005085328729308,0.002880,0.003781,0.008614,0.108592,0.262865,324.239415,24.538825,0.999341,0.987675,0.004419,0.484886,-0.000006,0.000004,-0.000023,0.000023,-0.000025,-50.932316,0.000028,
2296,2023,0.932545537368966,-13.5982915598656,0.0299937877488219,0.003147,0.003810,0.002969,0.135469,0.233722,331.020996,23.052121,0.999053,0.980876,0.005550,0.518878,0.000020,0.000077,0.000004,0.000077,0.000020,86.469945,0.000102,
2086,2368,-3.70649086790875,-6.03729503762663,-0.00345148796571948,0.002878,0.004107,0.002183,0.127346,0.241422,325.796892,24.560705,0.998402,0.980418,0.005525,0.474733,0.000006,0.000020,-0.000008,0.000024,0.000003,-65.493507,0.000029,
2116,2518,-3.07880462574978,-2.76111349963862,-0.0166223606422591,0.002628,0.004097,0.004559,0.108833,0.243990,323.104833,24.558864,0.999266,0.986519,0.004512,0.427900,0.000005,0.000030,-0.000021,0.000042,-0.000007,-60.576555,0.000045,
2026,2083,-4.96844932338396,-12.2752000301497,0.0304041015663756,0.002710,0.003567,0.007224,0.105673,0.221445,330.969829,24.972003,0.999196,0.986327,0.004718,0.380454,0.000030,-0.000043,-0.000003,0.000030,-0.000043,-2.552494,0.000044,
2146,2668,-2.4504305257274,0.508686770812616,-0.0198599418242225,0.003123,0.004996,0.000786,0.143154,0.283533,320.557596,24.528632,0.999597,0.991159,0.003761,0.527512,0.000004,0.000030,-0.000011,0.000035,-0.000001,-69.596759,0.000040,
2011,2023,-5.28737148488777,-13.5884975510806,0.0188210406855092,0.002340,0.004698,0.001276,0.105295,0.232598,331.926713,25.099875,0.998633,0.982779,0.005337,0.389882,0.000019,-0.000256,-0.000056,0.000030,-0.000267,-11.082752,0.000292,
2041,2158,-4.65440026881847,-10.629139590358,0.00976590530336807,0.002524,0.003195,0.011477,0.085023,0.221843,329.484938,24.961049,0.999226,0.986398,0.004866,0.278596,0.000008,-0.000019,0.000002,0.000008,-0.000019,4.016106,0.000019,
2161,2743,-2.13778976989058,2.14219021695226,-0.0215477894896594,0.002874,0.004018,0.008585,0.107515,0.251347,319.234372,24.616241,0.999361,0.989143,0.004199,0.453338,0.000005,0.000031,-0.000014,0.000038,-0.000001,-66.307421,0.000043,
2116,2533,-3.0812619339073,-2.4340045954747,-0.0180491586027642,0.002646,0.004455,0.004248,0.110728,0.267356,322.852231,24.528032,0.999217,0.984546,0.004812,0.486664,0.000001,0.000039,-0.000012,0.000043,-0.000003,-73.809103,0.000048,
2506,3073,5.3035951372906,9.33582341622052,0.00944074536118933,0.002558,0.004037,0.010886,0.077320,0.252908,313.960806,26.034733,0.999663,0.991751,0.003910,0.477428,0.000031,0.000056,0.000006,0.000057,0.000029,76.301622,0.000088,
2266,3283,0.049455995970721,13.8706824400096,0.0131498568783286,0.002531,0.004220,0.009705,0.086333,0.256163,310.407969,25.515428,0.999490,0.992354,0.003467,0.484453,0.000009,0.000059,0.000012,0.000062,0.000006,76.874083,0.000075,
2131,2593,-2.76512919386046,-1.12513552557823,-0.0218268651914855,0.002595,0.004496,0.004623,0.107219,0.285923,321.781175,24.528807,0.999397,0.989739,0.004254,0.504573,-0.000003,0.000037,-0.000010,0.000039,-0.000005,-76.834834,0.000043,
2041,2173,-4.65586214830547,-10.3021647304251,0.014371165307125,0.002705,0.003764,0.006721,0.106733,0.238728,329.304566,24.861616,0.999300,0.988039,0.004503,0.389767,0.000008,0.000004,0.000012,0.000019,-0.000007,39.537212,0.000019,
2431,2698,3.74468917649115,1.17453536923335,-0.0180202275209354,0.002696,0.004200,0.008116,0.095635,0.263310,319.703674,24.664314,0.999774,0.991665,0.003710,0.351416,0.000003,0.000052,-0.000018,0.000058,-0.000002,-72.097043,0.000065,
2251,3208,-0.259833019698434,12.242596113955,0.0436851915704324,0.002710,0.004127,0.006758,0.104495,0.245209,311.940062,25.381016,0.999704,0.995111,0.003119,0.413960,0.000001,0.000039,-0.000001,0.000039,0.000001,-87.810190,0.000045,
2236,3133,-0.574087158726897,10.6172557169634,0.0191263425846273,0.002359,0.004671,0.007511,0.086325,0.278355,312.975070,25.236268,0.999622,0.992071,0.003760,0.419134,-0.000012,0.000024,-0.000009,0.000026,-0.000014,-77.238188,0.000026,
2356,2323,2.18422459931378,-7.02079529362594,0.00740539419336983,0.002720,0.003613,0.009983,0.091081,0.247941,325.930766,23.512259,0.999682,0.994018,0.003725,0.498756,-0.000002,0.000003,0.000008,0.000009,-0.000008,52.502535,0.000010,
2131,2608,-2.76706766514902,-0.798785815524731,-0.0179713022348551,0.002758,0.004381,0.003310,0.118574,0.260554,321.582066,24.547101,0.999388,0.988764,0.004413,0.467256,-0.000002,0.000029,-0.000012,0.000033,-0.000006,-70.974606,0.000035,
2086,2383,-3.70887677229882,-5.70777216139449,-0.0113810056170109,0.003124,0.004719,-0.001143,0.148434,0.261294,325.509200,24.639912,0.998313,0.980473,0.005514,0.416484,0.000012,0.000032,-0.000005,0.000033,0.000011,-76.281978,0.000046,
2206,2983,-1.199444587553,7.36101002681384,-0.000146710949991302,0.002931,0.004665,0.003662,0.125240,0.263142,315.379175,24.969776,0.999375,0.991123,0.003767,0.388310,0.000000,0.000027,0.000004,0.000028,-0.000001,82.410330,0.000032,
2476,2923,4.68005872124236,6.07523239103342,-0.012951485836652,0.002815,0.004014,0.007365,0.103176,0.243341,316.173020,25.467581,0.999297,0.985638,0.004537,0.369580,0.000016,-0.000015,-0.000003,0.000016,-0.000016,-5.416945,0.000019,
2461,2848,4.36717452383724,4.44319134669294,-0.0282704394416555,0.002550,0.004281,0.006995,0.092737,0.263454,317.225159,25.115056,0.999730,0.992573,0.003459,0.441110,-0.000002,0.000023,-0.000012,0.000027,-0.000007,-68.579186,0.000028,
2341,2248,1.87137311754697,-8.66192285700938,0.00818481246830061,0.003008,0.003396,0.009946,0.104600,0.238458,327.161179,23.443079,0.999028,0.980982,0.005288,0.422006,-0.000011,-0.000013,-0.000011,-0.000001,-0.000023,-41.978664,0.000027,
2011,2038,-5.28882835984786,-13.2590397617803,0.0124500010791735,0.003340,0.004580,0.000122,0.154276,0.237501,331.682363,25.068564,0.998257,0.979870,0.005634,0.417902,0.000023,-0.000200,-0.000040,0.000030,-0.000207,-9.824197,0.000224,
2446,2773,4.05610711705537,2.80841325377289,-0.0285534157586085,0.002775,0.004423,0.003287,0.117151,0.254031,318.441586,24.757018,0.999502,0.987894,0.004378,0.509252,-0.000001,0.000069,-0.000008,0.000070,-0.000001,-83.496236,0.000079,
2371,2398,2.49679169907448,-5.3791837405622,0.00139621160343495,0.002515,0.004146,0.006206,0.095031,0.271224,324.675736,23.691735,0.999383,0.987063,0.004710,0.499609,0.000018,0.000027,0.000027,0.000050,-0.000005,50.013895,0.000055,
2071,2308,-4.02448737145464,-7.34676510134638,-0.0120438946717059,0.002573,0.004584,0.001511,0.115394,0.252583,326.756417,24.662950,0.999805,0.992879,0.003929,0.439262,0.000022,0.000023,0.000008,0.000030,0.000014,46.533889,0.000046,
2251,3193,-0.257062457652935,11.917914087811,0.0434027049984138,0.002927,0.004442,0.008415,0.109227,0.268172,312.187732,25.382358,0.999492,0.992089,0.003536,0.413598,0.000000,0.000032,-0.000006,0.000033,-0.000001,-80.505108,0.000037,
2011,2053,-5.29206834522698,-12.9309378791662,0.0220640755879344,0.002323,0.002848,0.010879,0.078017,0.225849,331.446348,25.115164,0.999413,0.991267,0.003923,0.351064,0.000030,-0.000144,-0.000045,0.000041,-0.000155,-13.764392,0.000160,
2296,2038,0.929909532527432,-13.2676899802736,0.0392111163079676,0.002733,0.003833,0.005322,0.108609,0.229516,330.828644,23.313555,0.999295,0.983407,0.005070,0.286279,0.000017,0.000066,-0.000006,0.000067,0.000016,-82.943790,0.000088,
2221,3043,-0.884055259390056,8.66345552963222,0.0129723465317966,0.002600,0.004226,0.008879,0.093024,0.258973,314.437622,25.061095,0.999689,0.993334,0.003320,0.405284,-0.000009,0.000006,-0.000011,0.000011,-0.000015,-61.388782,0.000015,
2326,2173,1.5581516009633,-10.3042079710215,0.0172641539646747,0.002425,0.004096,0.008254,0.084257,0.282105,328.428719,23.435587,0.998683,0.977612,0.005657,0.356830,0.000007,0.000002,-0.000004,0.000009,0.000000,-28.842896,0.000011,
2386,2473,2.80933733600236,-3.73884235283769,-0.00378351358511964,0.002922,0.003967,0.008186,0.106347,0.256245,323.437553,23.931694,0.999452,0.988633,0.004429,0.421816,0.000013,0.000003,0.000023,0.000032,-0.000016,39.288433,0.000032,
