Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28376484203255,-14.2505211676492,0.0208364489415658,0.000898,0.001714,-0.009579,0.067563,0.024220,332.388835,24.974094,0.998396,0.983492,0.005406,0.324186,0.000007,-0.000268,0.000015,0.000008,-0.000269,3.133253,0.000306,
2026,2068,-4.96806715312905,-12.6078339573159,0.0248378766655151,0.000558,0.000536,-0.004149,0.037150,-0.005313,331.099066,24.786329,0.999708,0.992714,0.003594,0.346502,-0.000015,-0.000068,0.000038,0.000004,-0.000088,27.574170,0.000099,
2056,2218,-4.33749960699121,-9.31979278623004,0.00419442883804777,0.000956,0.001334,-0.006361,0.062202,0.038936,328.370264,24.659948,0.998432,0.982892,0.005299,0.305501,-0.000031,0.000013,0.000010,0.000015,-0.000033,77.849349,0.000033,
2041,2143,-4.65253692451372,-10.963900220462,0.0153720323282869,0.000879,0.000414,-0.003826,0.051079,-0.014486,329.742661,24.683618,0.998234,0.983370,0.005683,0.324381,-0.000045,-0.000016,0.000021,-0.000005,-0.000056,62.036501,0.000068,
2071,2293,-4.02293897358587,-7.67973799664826,-0.00856204566071028,0.001070,0.000880,-0.007021,0.069432,0.003542,326.984815,24.480899,0.999767,0.993845,0.003714,0.373264,-0.000025,-0.000012,-0.000008,-0.000009,-0.000028,-64.698687,0.000039,
2086,2368,-3.70827259541604,-6.04098617291208,-0.0121025681524429,0.001097,0.000415,-0.006468,0.069162,-0.011482,325.670340,24.391732,0.998204,0.982806,0.005418,0.391563,-0.000011,0.000003,-0.000004,0.000004,-0.000012,-76.909322,0.000013,
2011,2008,-5.28680756695541,-13.9201736064481,0.0123951049698121,0.000856,0.000623,-0.003701,0.049456,0.006040,332.060550,25.011417,0.998677,0.985004,0.005131,0.260996,0.000027,-0.000170,0.000074,0.000051,-0.000194,18.431066,0.000201,
2206,2968,-1.19811578081706,7.03094469991583,-0.00622439268636299,0.001405,0.000797,-0.006026,0.084198,0.033355,315.535544,24.744856,0.999318,0.992259,0.003678,0.367241,-0.000020,-0.000007,0.000005,-0.000006,-0.000022,70.102538,0.000029,
2026,2083,-4.97078437694877,-12.2791011052258,0.0249821986504912,0.000375,-0.000334,0.001802,0.012204,-0.030313,330.835271,24.808265,0.999321,0.988088,0.004441,0.293430,-0.000021,-0.000017,0.000031,0.000012,-0.000050,47.224076,0.000052,
2146,2668,-2.45238379020206,0.504549559936947,-0.0272354742025414,0.001169,0.000859,-0.006589,0.074075,0.025688,320.430808,24.345194,0.999570,0.992766,0.003532,0.453031,-0.000016,-0.000016,-0.000004,-0.000012,-0.000020,-45.018930,0.000033,
