Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.29117619646215,-14.3474173536544,-7.05922450947583E-05,-0.006514,-0.095182,-0.030486,-0.244929,-4.490878,331.976716,20.419136,0.997651,0.980372,0.005973,0.369851,0.001641,0.001331,0.000129,0.001687,0.001284,19.836670,0.002981,
2026,2068,-4.97284736238444,-12.7018703158731,0.00637177923084664,-0.004222,-0.093501,-0.022615,-0.160335,-4.374001,330.819200,20.371532,0.999096,0.990698,0.004418,0.396708,0.001336,0.001236,0.000171,0.001464,0.001108,36.791340,0.002580,
2056,2218,-4.33747298635469,-9.41060765168399,-0.0142486397303969,0.000983,-0.089481,-0.024804,0.086527,-4.187009,328.308747,20.392931,0.997731,0.980401,0.005792,0.347999,0.000896,0.000840,0.000132,0.001003,0.000733,38.977930,0.001744,
2041,2143,-4.65493054683193,-11.0556450503724,-0.0041261702000952,-0.001515,-0.091330,-0.023324,-0.033241,-4.261552,329.564976,20.343291,0.998048,0.980423,0.006018,0.420398,0.001103,0.001089,0.000163,0.001259,0.000932,43.767815,0.002200,
2011,2008,-5.29377145565843,-14.0158695135918,-0.0128240239770321,-0.006108,-0.095072,-0.028920,-0.230573,-4.476711,331.644286,20.483939,0.997298,0.980845,0.006061,0.311503,0.001596,0.001377,0.000184,0.001701,0.001272,29.645394,0.002983,
2101,2443,-3.39040794975932,-4.49183068449155,-0.0125265251016913,0.004574,-0.088608,-0.003392,0.190716,-4.027874,324.570323,20.252994,0.999256,0.988063,0.004462,0.476520,0.000423,0.000203,0.000022,0.000425,0.000201,5.633366,0.000639,
2176,2818,-1.81883853011352,3.68304115218827,-0.0282853290328262,0.008704,-0.088174,0.003961,0.356947,-4.003345,318.223998,20.478465,0.999306,0.989852,0.004071,0.399496,0.000068,0.000071,-0.000011,0.000080,0.000059,-48.843132,0.000139,
2326,2173,1.56069725694086,-10.402819515147,-0.0115677647659709,0.004970,-0.094516,-0.020578,0.261826,-4.385484,328.440216,18.786176,0.998062,0.977707,0.005913,0.327433,0.001007,0.001044,-0.000035,0.001065,0.000986,-59.135923,0.002052,
2296,2023,0.932554474513996,-13.7009279133548,0.000231117424277727,0.003156,-0.098827,-0.026794,0.197318,-4.615921,330.912108,18.204393,0.998390,0.979009,0.006081,0.507014,0.001369,0.001447,-0.000033,0.001459,0.001357,-70.005464,0.002817,
2311,2098,1.24694554331429,-12.0500204323678,-0.00981616926122797,0.004366,-0.096214,-0.026282,0.252539,-4.493641,329.662901,18.540526,0.998252,0.981367,0.006038,0.369143,0.001198,0.001297,-0.000029,0.001305,0.001190,-74.928885,0.002496,
