Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2071,2293,-4.02220274226973,-7.75791164499282,-0.0198259647152099,0.001807,-0.077293,-0.018285,0.110159,-3.597397,326.989622,20.816526,0.999739,0.993368,0.003849,0.437260,0.000657,0.000571,0.000095,0.000718,0.000509,32.931560,0.001234,
2086,2368,-3.7060390554888,-6.1188443040715,-0.0213416608441435,0.003330,-0.077443,-0.015707,0.172953,-3.606516,325.754552,20.767418,0.998081,0.982225,0.005490,0.420554,0.000487,0.000347,0.000058,0.000508,0.000326,19.715749,0.000841,
2011,1993,-5.29062831115958,-14.3343355971433,-0.00243075413771976,-0.005966,-0.082101,-0.032846,-0.209521,-3.906472,331.982919,20.999996,0.997848,0.981854,0.005796,0.372883,0.001540,0.001177,0.000164,0.001603,0.001114,21.072865,0.002732,
2056,2218,-4.33747649752847,-9.39869520130097,-0.0119712692110738,0.000979,-0.077568,-0.022526,0.083730,-3.620585,328.315979,20.939146,0.998142,0.982257,0.005483,0.368241,0.000810,0.000798,0.000140,0.000944,0.000664,43.730934,0.001616,
2026,2068,-4.97216515613485,-12.6895414689306,0.00476246223382759,-0.003540,-0.081172,-0.024224,-0.120863,-3.827961,330.836188,20.932252,0.999353,0.991403,0.004138,0.381584,0.001217,0.001089,0.000160,0.001325,0.000980,34.090766,0.002314,
2041,2143,-4.65443471626529,-11.0433644171667,-0.00629225440428627,-0.001019,-0.079050,-0.025490,-0.000652,-3.726623,329.570567,20.906344,0.997724,0.982167,0.006001,0.391837,0.000986,0.000997,0.000144,0.001136,0.000847,46.075218,0.001990,
2101,2443,-3.39045732786718,-4.48003295487327,-0.015644813927679,0.004525,-0.076811,-0.006510,0.201444,-3.525996,324.546566,20.802900,0.999204,0.988586,0.004445,0.428837,0.000361,0.000180,0.000033,0.000367,0.000175,10.011689,0.000553,
2011,2008,-5.29325273898056,-14.0037517611531,-0.0103424368292622,-0.005589,-0.082955,-0.026439,-0.209845,-3.916902,331.676511,21.057055,0.997531,0.982412,0.005859,0.297496,0.001484,0.001200,0.000199,0.001586,0.001098,27.209460,0.002699,
2266,3268,0.0615868632135381,13.4638282944404,0.0229481080613141,0.011304,-0.077256,0.010700,0.455977,-3.509099,311.167025,21.747750,0.999587,0.993323,0.003395,0.458784,-0.000001,0.000023,0.000015,0.000030,-0.000009,64.675833,0.000031,
2491,2998,4.99950568727284,7.62298746518123,0.00310105778521574,0.009427,-0.078143,0.003899,0.384390,-3.575400,315.463776,21.950452,0.999399,0.988410,0.004092,0.375904,0.000021,-0.000015,0.000034,0.000041,-0.000035,30.914468,0.000044,
2116,2518,-3.07595176951128,-2.8418787969643,-0.0288872213792501,0.005481,-0.076669,-0.007706,0.248906,-3.535529,323.202589,20.819303,0.999074,0.987843,0.004479,0.386950,0.000248,0.000140,0.000021,0.000252,0.000136,10.727333,0.000394,
2296,2023,0.932258764691333,-13.6881126991798,-0.00199237826325316,0.002861,-0.086011,-0.029017,0.196083,-4.037849,330.883091,18.769948,0.998459,0.980576,0.005929,0.521002,0.001235,0.001346,-0.000053,0.001367,0.001214,-68.151466,0.002583,
2251,3193,-0.249370058835513,11.8360557013128,0.0445560769334179,0.010620,-0.077416,0.009568,0.428655,-3.514792,312.578060,21.614631,0.999521,0.992525,0.003458,0.394485,0.000004,0.000008,0.000003,0.000009,0.000003,64.926387,0.000013,
2506,3073,5.31107369229531,9.25331524629828,0.00645933313160185,0.010037,-0.078471,0.007904,0.396485,-3.569449,314.318340,22.226773,0.999621,0.992267,0.003875,0.448710,0.000024,0.000005,0.000023,0.000039,-0.000010,33.648320,0.000040,
2146,2668,-2.44657909643517,0.427601867260677,-0.0255344805815412,0.006974,-0.076089,-0.004888,0.309204,-3.492451,320.736391,20.807692,0.999562,0.991668,0.003721,0.470413,0.000132,0.000061,0.000002,0.000132,0.000061,1.788144,0.000198,
2371,2398,2.49953989214517,-5.46262339642426,-0.0165907930282856,0.005264,-0.079294,-0.011781,0.251360,-3.671468,324.744846,19.817618,0.999173,0.987796,0.004790,0.419781,0.000442,0.000380,-0.000002,0.000442,0.000380,-1.884341,0.000823,
2026,2083,-4.97440536181638,-12.3591947928365,-0.00465206060925993,-0.003246,-0.080428,-0.027832,-0.097306,-3.832171,330.540618,20.974991,0.998800,0.987321,0.004831,0.328510,0.001171,0.001092,0.000169,0.001306,0.000958,38.461885,0.002272,
2071,2323,-4.02623857882458,-7.10202607769696,-0.0159290109998551,0.002459,-0.077300,-0.012921,0.124842,-3.582156,326.553472,20.855353,0.999116,0.987804,0.004641,0.411392,0.000573,0.000436,0.000067,0.000600,0.000409,22.184511,0.001016,
2026,2098,-4.9754165560108,-12.029162251958,-0.0059705233375098,-0.002205,-0.079223,-0.031376,-0.039519,-3.760329,330.345744,21.008614,0.998534,0.981723,0.005549,0.359965,0.001127,0.001073,0.000165,0.001268,0.000933,40.349093,0.002209,
2011,2023,-5.29402075749212,-13.6754064377161,-0.0080965786996785,-0.004310,-0.082211,-0.025642,-0.153102,-3.882388,331.511639,20.986749,0.997757,0.982133,0.005775,0.393493,0.001390,0.001060,0.000161,0.001455,0.000995,22.115191,0.002464,
2131,2608,-2.7634600920919,-0.879340512978253,-0.0290929454803859,0.006366,-0.076174,-0.007811,0.290038,-3.513544,321.720544,20.829147,0.999407,0.989780,0.004273,0.409498,0.000163,0.000066,0.000011,0.000164,0.000065,6.724329,0.000236,
2056,2248,-4.34256945505333,-8.74335304389122,-0.0150947905756311,0.000841,-0.078730,-0.018576,0.065899,-3.686361,327.790992,20.885276,0.998771,0.985728,0.005011,0.350585,0.000746,0.000708,0.000116,0.000844,0.000610,40.345521,0.001460,
