Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2026,2068,-4.96585186881279,-12.6089467541747,0.0289359555869737,0.002774,-0.000577,-0.000051,0.127271,-0.044689,331.223275,24.769158,0.999720,0.992636,0.003587,0.323755,0.000037,-0.000079,0.000063,0.000064,-0.000107,23.703210,0.000107,
2131,2593,-2.76488490419598,-1.13040396908209,-0.0249432437726114,0.002840,-0.000772,0.001507,0.125889,-0.008461,321.778018,24.312357,0.999419,0.990712,0.004115,0.426618,-0.000014,-0.000003,0.000017,0.000009,-0.000026,54.222069,0.000027,
2056,2218,-4.33598623630897,-9.32215058371159,0.01485450826641,0.002470,-0.001024,0.004299,0.101012,-0.014389,328.498624,24.608421,0.998593,0.981905,0.005309,0.303347,-0.000012,0.000040,0.000047,0.000068,-0.000040,59.374640,0.000068,
2071,2293,-4.02139293324471,-7.68129221929578,-0.00341428183395465,0.002617,-0.000674,-0.001873,0.125311,-0.035713,327.084067,24.429498,0.999800,0.993484,0.003741,0.385066,-0.000010,0.000006,0.000021,0.000020,-0.000025,55.110573,0.000026,
2086,2368,-3.70642517680993,-6.04191379386869,-0.00874749030839439,0.002944,-0.000512,-0.003113,0.144090,-0.034499,325.773321,24.362081,0.998440,0.981903,0.005384,0.397630,0.000002,-0.000020,0.000017,0.000012,-0.000029,28.542627,0.000030,
2176,2818,-1.82493754586825,3.77036881338913,-0.0323141146040484,0.002605,-0.000846,-0.000068,0.119845,-0.038715,317.889070,24.518597,0.999446,0.990680,0.003866,0.327134,-0.000018,-0.000006,0.000015,0.000004,-0.000028,56.105264,0.000030,
2161,2743,-2.13750505739879,2.13724529928632,-0.0291481089118406,0.003159,-0.000927,0.000985,0.142074,-0.030445,319.209455,24.382647,0.999391,0.989690,0.004104,0.404923,-0.000016,-0.000011,0.000005,-0.000008,-0.000018,58.584569,0.000027,
2116,2518,-3.07883706500244,-2.76605668637688,-0.0198497073124599,0.002596,-0.000847,0.001331,0.115153,-0.029676,323.088197,24.349906,0.999278,0.988118,0.004315,0.363176,-0.000002,-0.000016,0.000022,0.000014,-0.000032,36.553970,0.000032,
2011,1993,-5.28208449212612,-14.2520516743959,0.0274543270138565,0.002578,0.000183,-0.002961,0.126336,-0.017912,332.502888,24.952046,0.998702,0.982344,0.005361,0.303496,0.000012,-0.000219,0.000005,0.000012,-0.000219,1.172427,0.000247,
2101,2443,-3.39220127030285,-4.403901153379,-0.0081780806617644,0.002781,-0.000679,0.000956,0.124807,-0.019926,324.475902,24.343942,0.999403,0.988327,0.004345,0.394215,-0.000005,-0.000046,0.000016,0.000000,-0.000051,18.568067,0.000059,
2191,2893,-1.51017244172646,5.40008168191624,-0.0158273721498858,0.003032,-0.000649,-0.002784,0.148134,-0.027476,316.786427,24.578398,0.999794,0.995371,0.003045,0.365090,-0.000025,0.000002,0.000012,0.000007,-0.000029,70.005256,0.000031,
2266,3268,0.053051598389473,13.5402019843234,0.0145438174562287,0.002769,-0.000882,0.002296,0.119689,-0.036368,310.703403,25.284618,0.999635,0.993402,0.003334,0.398539,-0.000003,0.000013,-0.000005,0.000015,-0.000004,-72.975002,0.000015,
