Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.29279780385247,-14.3048493345103,0.00785100626694657,-0.008135,-0.052614,-0.022564,-0.328054,-2.483311,331.928236,22.382936,0.998425,0.981236,0.005596,0.412705,0.001140,0.000911,0.000155,0.001219,0.000833,26.763974,0.002063,
2026,2068,-4.97523012162408,-12.6609827431376,0.0182409643550727,-0.006605,-0.052613,-0.010746,-0.289728,-2.435435,330.758516,22.295775,0.999507,0.991653,0.003969,0.410486,0.000938,0.000793,0.000149,0.001032,0.000699,32.046203,0.001742,
2041,2143,-4.65808845487412,-11.0157815364733,0.0106768806681998,-0.004673,-0.051467,-0.008521,-0.206888,-2.363367,329.485273,22.245488,0.998186,0.981445,0.005863,0.415983,0.000744,0.000692,0.000140,0.000860,0.000575,39.722287,0.001445,
2071,2293,-4.02621509444273,-7.72974148584395,-0.014755454090789,-0.002206,-0.049123,-0.013214,-0.079527,-2.248485,326.821959,22.096802,0.999734,0.993298,0.003870,0.506598,0.000467,0.000398,0.000076,0.000516,0.000348,32.774720,0.000870,
2056,2218,-4.34163834748054,-9.37116591622923,0.00102237223256907,-0.003182,-0.050039,-0.009533,-0.135202,-2.272216,328.185252,22.243397,0.998389,0.981078,0.005486,0.412604,0.000595,0.000554,0.000116,0.000692,0.000456,40.007411,0.001156,
2086,2368,-3.71051304010777,-6.09114323533671,-0.0109823774840265,-0.001144,-0.049742,-0.005348,-0.053404,-2.251383,325.594430,22.050503,0.998232,0.981284,0.005520,0.493061,0.000342,0.000223,0.000035,0.000351,0.000214,15.156753,0.000571,
2116,2518,-3.08077326822794,-2.81471357711011,-0.0202262807699185,0.000660,-0.049503,0.000955,0.010830,-2.234590,323.017148,22.089099,0.999114,0.987014,0.004546,0.418521,0.000168,0.000080,0.000006,0.000169,0.000080,3.930286,0.000254,
2101,2443,-3.39518225511716,-4.45234847437281,-0.00990495229450516,-0.000200,-0.049126,-0.000771,-0.023249,-2.198712,324.349844,22.067484,0.999260,0.988171,0.004451,0.492017,0.000234,0.000091,0.000008,0.000235,0.000091,3.331204,0.000336,
2011,2008,-5.29570735597002,-13.9743663504185,0.000940447868458705,-0.008044,-0.053569,-0.015156,-0.344197,-2.489671,331.614420,22.438043,0.998168,0.982940,0.005542,0.343337,0.001113,0.000885,0.000161,0.001196,0.000802,27.309502,0.002011,
2026,2083,-4.97776214091889,-12.3307562908431,0.0121797344712036,-0.006603,-0.051989,-0.011001,-0.288782,-2.428051,330.468221,22.352629,0.999005,0.987119,0.004737,0.354799,0.000900,0.000793,0.000151,0.001007,0.000686,35.264191,0.001703,
2011,2023,-5.29679183661645,-13.6461956948958,0.000979051965259714,-0.007081,-0.053000,-0.016566,-0.296064,-2.477784,331.422951,22.349212,0.998220,0.982437,0.005559,0.435431,0.001064,0.000755,0.000137,0.001116,0.000703,20.731114,0.001835,
2041,2158,-4.66166745991852,-10.6840711929977,-0.00412481354527472,-0.004744,-0.051737,-0.002414,-0.227189,-2.342143,329.100100,22.360695,0.999189,0.986496,0.004892,0.318165,0.000716,0.000633,0.000122,0.000803,0.000546,35.501659,0.001357,
2266,3268,0.0546533534802371,13.4914105276158,0.025894943934361,0.004371,-0.049674,0.013647,0.137320,-2.214515,310.852577,23.018337,0.999631,0.992899,0.003426,0.483234,-0.000006,0.000003,-0.000006,0.000006,-0.000010,-62.618451,0.000010,
